RAM 1441/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@652,off,off,0%@652,0%@652,0%@652] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@29.5C BCPU@31C thermal@30.4C Tdiode@28.75C VDD_SYS_GPU 229/229 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 305/305 VDD_IN 3027/3027 VDD_SYS_CPU 306/306 VDD_SYS_DDR 859/859
RAM 1441/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,16%@345,16%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@30C BCPU@31C thermal@30.4C Tdiode@28.75C VDD_SYS_GPU 229/229 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 267/286 VDD_IN 2988/3007 VDD_SYS_CPU 229/267 VDD_SYS_DDR 840/849
RAM 1441/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@29.5C BCPU@31C thermal@30.4C Tdiode@28.75C VDD_SYS_GPU 153/203 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 229/267 VDD_IN 2912/2975 VDD_SYS_CPU 229/254 VDD_SYS_DDR 840/846
RAM 1441/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@29.5C BCPU@31C thermal@30.4C Tdiode@28.75C VDD_SYS_GPU 153/191 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 210/252 VDD_IN 2835/2940 VDD_SYS_CPU 229/248 VDD_SYS_DDR 840/844
RAM 1441/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@30C BCPU@31C thermal@30.4C Tdiode@28.75C VDD_SYS_GPU 153/183 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 171/236 VDD_IN 2797/2911 VDD_SYS_CPU 229/244 VDD_SYS_DDR 840/843
RAM 1441/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@30C BCPU@31C thermal@30.4C Tdiode@28.75C VDD_SYS_GPU 153/178 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 152/222 VDD_IN 2759/2886 VDD_SYS_CPU 229/241 VDD_SYS_DDR 840/843
RAM 1441/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@30C BCPU@31C thermal@30.4C Tdiode@28.75C VDD_SYS_GPU 153/174 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 133/209 VDD_IN 2720/2862 VDD_SYS_CPU 229/240 VDD_SYS_DDR 840/842
RAM 1441/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@29.5C BCPU@31C thermal@30.4C Tdiode@28.75C VDD_SYS_GPU 153/172 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 114/197 VDD_IN 2720/2844 VDD_SYS_CPU 229/238 VDD_SYS_DDR 840/842
RAM 1441/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@30C BCPU@31C thermal@30.4C Tdiode@28.75C VDD_SYS_GPU 153/169 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 95/186 VDD_IN 2682/2826 VDD_SYS_CPU 229/237 VDD_SYS_DDR 821/840
RAM 1441/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@29.5C BCPU@31C thermal@30.4C Tdiode@28.75C VDD_SYS_GPU 153/168 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 95/177 VDD_IN 2644/2808 VDD_SYS_CPU 229/236 VDD_SYS_DDR 821/838
RAM 1441/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@29.5C BCPU@31C thermal@30.4C Tdiode@28.75C VDD_SYS_GPU 153/166 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 76/167 VDD_IN 2644/2793 VDD_SYS_CPU 229/236 VDD_SYS_DDR 821/836
