RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 0/0 VDD_IN 1840/1901 VDD_SYS_CPU 230/229 VDD_SYS_DDR 420/436
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 0/0 VDD_IN 1840/1897 VDD_SYS_CPU 230/229 VDD_SYS_DDR 420/434
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 0/0 VDD_IN 1840/1893 VDD_SYS_CPU 230/229 VDD_SYS_DDR 401/432
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/455 VDD_4V0_WIFI 0/0 VDD_IN 1801/1887 VDD_SYS_CPU 230/229 VDD_SYS_DDR 401/430
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/450 VDD_4V0_WIFI 0/0 VDD_IN 1801/1882 VDD_SYS_CPU 230/229 VDD_SYS_DDR 401/428
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/447 VDD_4V0_WIFI 0/0 VDD_IN 1801/1878 VDD_SYS_CPU 230/229 VDD_SYS_DDR 401/427
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@29.9C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/443 VDD_4V0_WIFI 0/0 VDD_IN 1801/1873 VDD_SYS_CPU 230/229 VDD_SYS_DDR 401/426
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@29.9C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/440 VDD_4V0_WIFI 0/0 VDD_IN 1801/1870 VDD_SYS_CPU 153/225 VDD_SYS_DDR 382/423
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@806,off,off,0%@806,0%@806,0%@806] EMC_FREQ 0% GR3D_FREQ 3% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/438 VDD_4V0_WIFI 0/0 VDD_IN 1801/1867 VDD_SYS_CPU 230/226 VDD_SYS_DDR 401/422
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/435 VDD_4V0_WIFI 0/0 VDD_IN 1801/1864 VDD_SYS_CPU 153/222 VDD_SYS_DDR 401/421
