RAM 1474/7852MB (lfb 1336x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 153/170 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2567/2590 VDD_SYS_CPU 153/223 VDD_SYS_DDR 821/831
RAM 1474/7852MB (lfb 1336x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 153/169 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2529/2586 VDD_SYS_CPU 153/218 VDD_SYS_DDR 821/830
RAM 1476/7852MB (lfb 1336x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 153/168 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2529/2582 VDD_SYS_CPU 153/213 VDD_SYS_DDR 821/829
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@1267,off,off,0%@1267,0%@1267,50%@1267] EMC_FREQ 0% GR3D_FREQ 0% PLL@34C MCPU@34C PMIC@100C Tboard@30C GPU@32.5C BCPU@34C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 153/167 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2605/2583 VDD_SYS_CPU 229/214 VDD_SYS_DDR 840/830
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.2C Tdiode@31.75C VDD_SYS_GPU 153/166 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2567/2582 VDD_SYS_CPU 229/215 VDD_SYS_DDR 840/831
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.1C Tdiode@31.75C VDD_SYS_GPU 153/165 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2567/2581 VDD_SYS_CPU 229/216 VDD_SYS_DDR 840/831
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.1C Tdiode@31.75C VDD_SYS_GPU 153/165 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2567/2581 VDD_SYS_CPU 229/217 VDD_SYS_DDR 821/831
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.1C Tdiode@31.75C VDD_SYS_GPU 153/164 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2567/2580 VDD_SYS_CPU 229/217 VDD_SYS_DDR 821/830
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.1C Tdiode@31.75C VDD_SYS_GPU 153/163 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2567/2579 VDD_SYS_CPU 229/218 VDD_SYS_DDR 821/830
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.1C Tdiode@31.5C VDD_SYS_GPU 153/163 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2567/2579 VDD_SYS_CPU 229/218 VDD_SYS_DDR 821/829
