RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/460 VDD_4V0_WIFI 57/139 VDD_IN 1916/2207 VDD_SYS_CPU 230/300 VDD_SYS_DDR 420/466
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@499,off,off,0%@652,20%@652,33%@652] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/454 VDD_4V0_WIFI 38/131 VDD_IN 1916/2186 VDD_SYS_CPU 229/295 VDD_SYS_DDR 401/462
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C MCPU@30C PMIC@100C Tboard@27C GPU@29C BCPU@30C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/449 VDD_4V0_WIFI 38/125 VDD_IN 1878/2166 VDD_SYS_CPU 230/290 VDD_SYS_DDR 401/458
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [14%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C MCPU@30C PMIC@100C Tboard@27C GPU@29C BCPU@30C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/445 VDD_4V0_WIFI 38/120 VDD_IN 1878/2148 VDD_SYS_CPU 230/286 VDD_SYS_DDR 401/454
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C MCPU@30C PMIC@100C Tboard@27C GPU@29C BCPU@30C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/441 VDD_4V0_WIFI 38/115 VDD_IN 1840/2130 VDD_SYS_CPU 230/283 VDD_SYS_DDR 401/451
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [20%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 4% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/438 VDD_4V0_WIFI 19/110 VDD_IN 1840/2114 VDD_SYS_CPU 230/280 VDD_SYS_DDR 401/448
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/435 VDD_4V0_WIFI 19/105 VDD_IN 1840/2099 VDD_SYS_CPU 230/277 VDD_SYS_DDR 401/446
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/433 VDD_4V0_WIFI 19/100 VDD_IN 1840/2086 VDD_SYS_CPU 230/275 VDD_SYS_DDR 401/443
RAM 1418/7852MB (lfb 1356x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/430 VDD_4V0_WIFI 19/97 VDD_IN 1801/2073 VDD_SYS_CPU 230/273 VDD_SYS_DDR 382/440
RAM 1419/7852MB (lfb 1355x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,20%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.9C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/428 VDD_4V0_WIFI 19/93 VDD_IN 1801/2060 VDD_SYS_CPU 230/271 VDD_SYS_DDR 401/439
