RAM 1439/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@499,off,off,16%@499,0%@499,28%@499] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@29.5C BCPU@31C thermal@30.1C Tdiode@28.25C VDD_SYS_GPU 229/229 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2682/2682 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1439/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@30.1C Tdiode@28.25C VDD_SYS_GPU 153/191 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2644/2663 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1439/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@30.1C Tdiode@28.25C VDD_SYS_GPU 153/178 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2644/2656 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1439/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@30.1C Tdiode@28.5C VDD_SYS_GPU 153/172 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2605/2643 VDD_SYS_CPU 229/229 VDD_SYS_DDR 840/840
RAM 1439/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@30.1C Tdiode@28.5C VDD_SYS_GPU 153/168 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2605/2636 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/836
RAM 1439/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@30.1C Tdiode@28.5C VDD_SYS_GPU 153/165 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2605/2630 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/833
RAM 1439/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@30.1C Tdiode@28.5C VDD_SYS_GPU 153/163 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2605/2627 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/831
RAM 1439/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@30.1C Tdiode@28.25C VDD_SYS_GPU 153/162 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2605/2624 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/830
RAM 1439/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,28%@345,28%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@30.4C Tdiode@28.25C VDD_SYS_GPU 153/161 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2605/2622 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/829
RAM 1439/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@30.4C Tdiode@28.25C VDD_SYS_GPU 153/160 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2605/2620 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/828
RAM 1439/7852MB (lfb 1345x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@29.5C BCPU@31C thermal@30.4C Tdiode@28.25C VDD_SYS_GPU 153/159 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2567/2615 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/827
