RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,37%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.4C Tdiode@30C VDD_SYS_GPU 153/191 VDD_SYS_SOC 613/629 VDD_4V0_WIFI 38/2 VDD_IN 2605/2594 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/830
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.4C Tdiode@30C VDD_SYS_GPU 153/188 VDD_SYS_SOC 613/628 VDD_4V0_WIFI 76/7 VDD_IN 2644/2597 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/829
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 153/186 VDD_SYS_SOC 613/627 VDD_4V0_WIFI 114/14 VDD_IN 2682/2602 VDD_SYS_CPU 229/229 VDD_SYS_DDR 821/829
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 153/184 VDD_SYS_SOC 613/626 VDD_4V0_WIFI 152/22 VDD_IN 2720/2609 VDD_SYS_CPU 153/224 VDD_SYS_DDR 821/828
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@28C GPU@31C BCPU@32.5C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 153/182 VDD_SYS_SOC 613/625 VDD_4V0_WIFI 171/30 VDD_IN 2720/2615 VDD_SYS_CPU 153/220 VDD_SYS_DDR 821/828
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 153/181 VDD_SYS_SOC 613/625 VDD_4V0_WIFI 191/39 VDD_IN 2759/2623 VDD_SYS_CPU 153/217 VDD_SYS_DDR 821/828
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [33%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@30.5C BCPU@32C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 153/179 VDD_SYS_SOC 613/624 VDD_4V0_WIFI 210/47 VDD_IN 2797/2632 VDD_SYS_CPU 153/213 VDD_SYS_DDR 821/827
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 153/178 VDD_SYS_SOC 613/624 VDD_4V0_WIFI 229/56 VDD_IN 2797/2640 VDD_SYS_CPU 153/210 VDD_SYS_DDR 821/827
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@30.5C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 153/177 VDD_SYS_SOC 613/623 VDD_4V0_WIFI 248/64 VDD_IN 2835/2648 VDD_SYS_CPU 153/208 VDD_SYS_DDR 821/827
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@30.5C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 153/176 VDD_SYS_SOC 613/623 VDD_4V0_WIFI 267/73 VDD_IN 2835/2656 VDD_SYS_CPU 153/205 VDD_SYS_DDR 821/826
