RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.5C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/776 CPU 621/776 SOC 2175/1831 CV 0/0 VDDRQ 310/166 SYS5V 2170/1986
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.5C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/786 CPU 621/766 SOC 2175/1854 CV 0/0 VDDRQ 310/175 SYS5V 2170/1998
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.5C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/795 CPU 621/757 SOC 2175/1874 CV 0/0 VDDRQ 310/184 SYS5V 2170/2009
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.5C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/803 CPU 621/749 SOC 2175/1891 CV 0/0 VDDRQ 310/191 SYS5V 2210/2021
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.5C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/810 CPU 621/741 SOC 2174/1907 CV 0/0 VDDRQ 310/198 SYS5V 2210/2031
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@46C GPU@47.5C Tdiode@48.5C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/816 CPU 621/735 SOC 2174/1921 CV 0/0 VDDRQ 310/203 SYS5V 2210/2040
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.5C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/822 CPU 621/729 SOC 2174/1934 CV 0/0 VDDRQ 310/209 SYS5V 2210/2049
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@46C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/827 CPU 621/724 SOC 2174/1945 CV 0/0 VDDRQ 155/206 SYS5V 2210/2057
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/832 CPU 621/719 SOC 2174/1955 CV 0/0 VDDRQ 155/204 SYS5V 2210/2063
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/836 CPU 621/715 SOC 2174/1965 CV 0/0 VDDRQ 310/208 SYS5V 2210/2070
