RAM 1488/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1881,0%@1881,20%@1881,0%@1881,28%@1881,16%@1881,37%@1881,14%@1881] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@47C thermal@45.55C Tboard@46C GPU 310/310 CPU 2329/1985 SOC 1863/1608 CV 0/0 VDDRQ 310/287 SYS5V 2170/2023
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@2265,12%@2265,0%@2265,0%@2265,0%@2265,0%@2265,0%@2265,0%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@46.5C thermal@45.55C Tboard@46C GPU 310/310 CPU 2174/1998 SOC 1708/1615 CV 0/0 VDDRQ 310/289 SYS5V 2089/2027
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46.5C thermal@45.55C Tboard@46C GPU 310/310 CPU 1864/1989 SOC 1708/1620 CV 0/0 VDDRQ 310/290 SYS5V 2049/2029
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46.5C thermal@45.55C Tboard@46C GPU 310/310 CPU 1709/1973 SOC 1553/1616 CV 0/0 VDDRQ 310/291 SYS5V 2009/2028
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@45C CPU@46C thermal@45.55C Tboard@46C GPU 310/310 CPU 1553/1950 SOC 1398/1604 CV 0/0 VDDRQ 310/292 SYS5V 1929/2022
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@45C CPU@46.5C thermal@45.55C Tboard@46C GPU 310/310 CPU 1399/1921 SOC 1398/1593 CV 0/0 VDDRQ 155/285 SYS5V 1889/2015
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46.5C thermal@45.55C Tboard@46C GPU 310/310 CPU 1399/1894 SOC 1243/1576 CV 0/0 VDDRQ 155/279 SYS5V 1889/2009
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@46C thermal@45.55C Tboard@46C GPU 310/310 CPU 1243/1863 SOC 1243/1560 CV 0/0 VDDRQ 155/273 SYS5V 1848/2001
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@46C thermal@45.55C Tboard@46C GPU 310/310 CPU 1088/1828 SOC 1243/1545 CV 0/0 VDDRQ 155/267 SYS5V 1808/1992
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@46C thermal@45.55C Tboard@46C GPU 310/310 CPU 1088/1796 SOC 1088/1526 CV 0/0 VDDRQ 155/262 SYS5V 1808/1984
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@46C thermal@45.55C Tboard@46C GPU 310/310 CPU 933/1760 SOC 1088/1507 CV 0/0 VDDRQ 155/258 SYS5V 1768/1975
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@46C thermal@45.55C Tboard@46C GPU 310/310 CPU 933/1727 SOC 1088/1491 CV 0/0 VDDRQ 155/254 SYS5V 1768/1967
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@45C CPU@46C thermal@45.55C Tboard@46C GPU 310/310 CPU 933/1696 SOC 1088/1475 CV 0/0 VDDRQ 155/250 SYS5V 1728/1958
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.55C Tboard@46C GPU 311/310 CPU 777/1662 SOC 933/1455 CV 0/0 VDDRQ 155/246 SYS5V 1728/1949
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.55C Tboard@46C GPU 311/310 CPU 777/1631 SOC 933/1436 CV 0/0 VDDRQ 155/243 SYS5V 1728/1941
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.55C Tboard@46C GPU 311/310 CPU 777/1601 SOC 933/1419 CV 0/0 VDDRQ 155/240 SYS5V 1688/1932
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.55C Tboard@46C GPU 311/310 CPU 777/1574 SOC 933/1403 CV 0/0 VDDRQ 155/237 SYS5V 1688/1924
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.55C Tboard@46C GPU 311/310 CPU 777/1548 SOC 933/1388 CV 0/0 VDDRQ 155/235 SYS5V 1688/1917
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/310 CPU 622/1519 SOC 933/1373 CV 0/0 VDDRQ 155/232 SYS5V 1688/1909
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1420,0%@1420,0%@1420,0%@1420,0%@1420,28%@1420,0%@2112,0%@2112] EMC_FREQ 0% GR3D_FREQ 5% AO@44C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/310 CPU 622/1492 SOC 933/1360 CV 0/0 VDDRQ 155/230 SYS5V 1688/1903
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 80% AO@44C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@46C GPU 311/310 CPU 622/1466 SOC 933/1347 CV 0/0 VDDRQ 155/227 SYS5V 1688/1896
