RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/788 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/787 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/786 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/786 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/785 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/785 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44C CPU@45.5C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/622 SOC 777/784 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 311/311 CPU 466/614 SOC 777/784 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/614 SOC 777/784 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/615 SOC 777/783 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 311/311 CPU 466/609 SOC 777/783 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44C CPU@45.5C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/609 SOC 777/783 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 311/311 CPU 466/604 SOC 777/783 CV 0/0 VDDRQ 155/155 SYS5V 1647/1647
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,20%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/604 SOC 933/788 CV 0/0 VDDRQ 155/155 SYS5V 1688/1648
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/605 SOC 933/793 CV 0/0 VDDRQ 155/155 SYS5V 1688/1649
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 311/311 CPU 622/605 SOC 933/798 CV 0/0 VDDRQ 155/155 SYS5V 1647/1649
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.5C PMIC@100C AUX@44C CPU@46C thermal@44.95C Tboard@45C GPU 311/311 CPU 622/606 SOC 933/803 CV 0/0 VDDRQ 155/155 SYS5V 1647/1649
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.5C PMIC@100C AUX@44C CPU@45.5C thermal@44.95C Tboard@45C GPU 311/311 CPU 622/606 SOC 933/807 CV 0/0 VDDRQ 155/155 SYS5V 1647/1649
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@44.95C Tboard@45C GPU 311/311 CPU 622/607 SOC 933/811 CV 0/0 VDDRQ 155/155 SYS5V 1647/1649
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@44.95C Tboard@45C GPU 311/311 CPU 622/607 SOC 933/814 CV 0/0 VDDRQ 155/155 SYS5V 1647/1649
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@44.95C Tboard@45C GPU 311/311 CPU 622/608 SOC 777/813 CV 0/0 VDDRQ 155/155 SYS5V 1647/1649
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@44.95C Tboard@45C GPU 466/315 CPU 622/608 SOC 777/812 CV 0/0 VDDRQ 155/155 SYS5V 1647/1649
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@44.95C Tboard@45C GPU 466/319 CPU 622/609 SOC 777/811 CV 0/0 VDDRQ 155/155 SYS5V 1647/1649
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@44.95C Tboard@45C GPU 466/323 CPU 622/609 SOC 777/810 CV 0/0 VDDRQ 155/155 SYS5V 1647/1649
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@44.95C Tboard@45C GPU 466/327 CPU 622/609 SOC 777/809 CV 0/0 VDDRQ 155/155 SYS5V 1647/1649
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@44.95C Tboard@45C GPU 622/334 CPU 622/610 SOC 933/813 CV 0/0 VDDRQ 155/155 SYS5V 1728/1651
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@44.95C Tboard@45C GPU 466/338 CPU 622/610 SOC 933/816 CV 0/0 VDDRQ 155/155 SYS5V 1728/1653
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44C CPU@46C thermal@44.95C Tboard@45C GPU 466/341 CPU 622/610 SOC 933/818 CV 0/0 VDDRQ 155/155 SYS5V 1728/1654
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@44.95C Tboard@45C GPU 466/344 CPU 622/610 SOC 933/821 CV 0/0 VDDRQ 155/155 SYS5V 1728/1656
