RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/666 SOC 933/933 CV 0/0 VDDRQ 155/155 SYS5V 1647/1693
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/663 SOC 933/933 CV 0/0 VDDRQ 155/155 SYS5V 1647/1690
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/660 SOC 933/933 CV 0/0 VDDRQ 155/155 SYS5V 1647/1687
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@47C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/658 SOC 777/923 CV 0/0 VDDRQ 155/155 SYS5V 1647/1685
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/656 SOC 933/924 CV 0/0 VDDRQ 155/155 SYS5V 1647/1683
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/654 SOC 777/916 CV 0/0 VDDRQ 155/155 SYS5V 1647/1681
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/653 SOC 777/909 CV 0/0 VDDRQ 155/155 SYS5V 1647/1679
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/651 SOC 777/903 CV 0/0 VDDRQ 155/155 SYS5V 1647/1678
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/650 SOC 777/897 CV 0/0 VDDRQ 155/155 SYS5V 1647/1676
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/648 SOC 777/892 CV 0/0 VDDRQ 155/155 SYS5V 1647/1675
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/647 SOC 777/887 CV 0/0 VDDRQ 155/155 SYS5V 1647/1674
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/646 SOC 777/883 CV 0/0 VDDRQ 155/155 SYS5V 1647/1673
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/311 CPU 622/645 SOC 777/879 CV 0/0 VDDRQ 155/155 SYS5V 1647/1672
