RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.75C Tboard@46C GPU 931/964 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/276 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@46C CPU@47.5C thermal@46.75C Tboard@46C GPU 931/962 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/279 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.75C Tboard@46C GPU 931/960 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 155/271 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.75C Tboard@46C GPU 931/958 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/273 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.75C Tboard@46C GPU 931/957 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 155/266 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.75C Tboard@46C GPU 931/955 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/269 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.75C Tboard@46C GPU 931/954 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/271 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.75C Tboard@46C GPU 931/953 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/273 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@46C CPU@47.5C thermal@46.75C Tboard@46C GPU 931/952 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 155/267 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45C GPU@47C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.75C Tboard@46C GPU 931/951 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/269 SYS5V 2250/2250
