RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39.5C CPU@40.5C thermal@39.75C Tboard@40C GPU 310/310 CPU 621/693 SOC 932/932 CV 0/0 VDDRQ 155/258 SYS5V 1848/1872
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,33%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39.5C CPU@41C thermal@39.75C Tboard@40C GPU 310/310 CPU 776/698 SOC 932/932 CV 0/0 VDDRQ 155/251 SYS5V 1889/1873
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [12%@1728,0%@1728,14%@1728,16%@1728,0%@1728,0%@1728,14%@1728,0%@1728] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39.5C CPU@40.5C thermal@39.95C Tboard@40C GPU 310/310 CPU 776/703 SOC 932/932 CV 0/0 VDDRQ 155/246 SYS5V 1848/1872
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.95C Tboard@40C GPU 310/310 CPU 776/707 SOC 932/932 CV 0/0 VDDRQ 155/241 SYS5V 1889/1873
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@40C Tdiode@41.5C PMIC@100C AUX@39.5C CPU@40.5C thermal@39.95C Tboard@40C GPU 310/310 CPU 621/702 SOC 932/932 CV 0/0 VDDRQ 155/236 SYS5V 1848/1871
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.95C Tboard@40C GPU 310/310 CPU 621/698 SOC 932/932 CV 0/0 VDDRQ 155/232 SYS5V 1848/1870
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@40.5C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.95C Tboard@40C GPU 310/310 CPU 621/694 SOC 932/932 CV 0/0 VDDRQ 155/228 SYS5V 1848/1869
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.95C Tboard@40C GPU 310/310 CPU 621/691 SOC 932/932 CV 0/0 VDDRQ 155/225 SYS5V 1848/1868
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.95C Tboard@40C GPU 310/310 CPU 621/688 SOC 932/932 CV 0/0 VDDRQ 155/222 SYS5V 1848/1867
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,16%@1190,28%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@41C thermal@39.95C Tboard@40C GPU 310/310 CPU 776/692 SOC 932/932 CV 0/0 VDDRQ 155/219 SYS5V 1848/1866
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.95C Tboard@40C GPU 310/310 CPU 621/689 SOC 932/932 CV 0/0 VDDRQ 155/217 SYS5V 1848/1866
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.95C Tboard@40C GPU 310/310 CPU 776/692 SOC 932/932 CV 0/0 VDDRQ 155/214 SYS5V 1889/1866
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.95C Tboard@40C GPU 310/310 CPU 621/689 SOC 932/932 CV 0/0 VDDRQ 155/212 SYS5V 1848/1866
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.95C Tboard@40C GPU 310/310 CPU 621/687 SOC 932/932 CV 0/0 VDDRQ 155/210 SYS5V 1889/1867
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1420,0%@1420,0%@1420,16%@1420,0%@1420,0%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.95C Tboard@40C GPU 310/310 CPU 621/685 SOC 932/932 CV 0/0 VDDRQ 155/208 SYS5V 1848/1866
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.95C Tboard@40C GPU 310/310 CPU 621/683 SOC 932/932 CV 0/0 VDDRQ 155/206 SYS5V 1848/1865
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1497,14%@1497,0%@1497,14%@1497,0%@1497,0%@1497,0%@1497,0%@1497] EMC_FREQ 0% GR3D_FREQ 0% AO@38C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@40.5C thermal@39.95C Tboard@40C GPU 310/310 CPU 621/681 SOC 932/932 CV 0/0 VDDRQ 155/205 SYS5V 1848/1865
RAM 2340/15815MB (lfb 3086x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,16%@1190,20%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@38.5C GPU@40C Tdiode@41.5C PMIC@100C AUX@39C CPU@41C thermal@39.95C Tboard@40C GPU 310/310 CPU 776/683 SOC 932/932 CV 0/0 VDDRQ 155/203 SYS5V 1889/1865
