RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/654 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 1% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/652 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/650 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/648 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/646 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/645 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/644 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1344,16%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1344,28%@1344] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44.5C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/643 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/642 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 4% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/641 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@44C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/640 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/639 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/638 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/638 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/637 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/637 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,28%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/636 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/636 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/635 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2383/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 931/931 CPU 621/635 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,16%@1190,14%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41.5C GPU@44.5C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.25C Tboard@43C GPU 1396/944 CPU 620/634 SOC 2328/2328 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41.5C GPU@44.5C Tdiode@44.75C PMIC@100C AUX@42C CPU@44C thermal@43.25C Tboard@43C GPU 2016/975 CPU 620/634 SOC 2327/2327 CV 0/0 VDDRQ 310/310 SYS5V 2451/2451
