RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1533/1557 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/148
RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1533/1556 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/147
RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [25%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1495/1552 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/146
RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,16%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1533/1551 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/145
RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1533/1550 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/145
RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [37%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1533/1549 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/144
RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,12%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1533/1548 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/143
RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1495/1545 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/143
RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1495/1543 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/142
RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1495/1541 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/142
RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1495/1539 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/142
RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1495/1537 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/141
RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1495/1536 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/141
RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1495/1534 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/141
RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1495/1533 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/140
RAM 1266/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/306 VDD_4V0_WIFI 0/0 VDD_IN 1495/1531 VDD_SYS_CPU 230/230 VDD_SYS_DDR 133/140
