RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/731 CPU 621/754 SOC 2019/1775 CV 0/0 VDDRQ 155/155 SYS5V 2130/1974
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/745 CPU 621/745 SOC 2174/1802 CV 0/0 VDDRQ 155/155 SYS5V 2170/1987
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/756 CPU 621/737 SOC 2174/1825 CV 0/0 VDDRQ 155/155 SYS5V 2170/1999
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/766 CPU 621/730 SOC 2174/1845 CV 0/0 VDDRQ 155/155 SYS5V 2170/2009
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42.5C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/776 CPU 621/724 SOC 2174/1864 CV 0/0 VDDRQ 155/155 SYS5V 2170/2018
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/784 CPU 621/719 SOC 2174/1880 CV 0/0 VDDRQ 155/155 SYS5V 2210/2028
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/791 CPU 621/714 SOC 2174/1895 CV 0/0 VDDRQ 155/155 SYS5V 2210/2037
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/798 CPU 621/709 SOC 2174/1908 CV 0/0 VDDRQ 155/155 SYS5V 2210/2045
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42.5C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/804 CPU 621/705 SOC 2174/1920 CV 0/0 VDDRQ 155/155 SYS5V 2210/2053
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.75C Tboard@44C GPU 931/809 CPU 621/702 SOC 2174/1931 CV 0/0 VDDRQ 310/161 SYS5V 2210/2059
