RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 310/310 CPU 621/787 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1880
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1420,28%@1420,0%@1420,0%@1420,28%@1420,20%@1420,0%@1420,0%@1420] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@44.5C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 310/310 CPU 777/786 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1881
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@46C thermal@45.1C Tboard@45C GPU 310/310 CPU 777/786 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1879
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 12% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44C CPU@46C thermal@45.1C Tboard@45C GPU 310/310 CPU 777/785 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1879
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44C CPU@46C thermal@45.1C Tboard@45C GPU 310/310 CPU 777/785 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1880
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44C CPU@46C thermal@45.1C Tboard@45C GPU 310/310 CPU 777/784 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1878
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 310/310 CPU 621/776 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1877
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44C CPU@45.5C thermal@45.1C Tboard@45C GPU 310/310 CPU 621/769 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1877
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.1C Tboard@45C GPU 310/310 CPU 621/763 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1876
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [33%@2035,14%@2035,0%@2035,0%@2035,0%@2035,0%@2035,0%@2035,0%@2035] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@44.5C Tdiode@46.5C PMIC@100C AUX@44C CPU@46C thermal@44.95C Tboard@45C GPU 310/310 CPU 777/763 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1877
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44C CPU@45.5C thermal@44.95C Tboard@45C GPU 310/310 CPU 777/764 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1877
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,28%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 14% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44C CPU@45.5C thermal@44.95C Tboard@45C GPU 310/310 CPU 777/764 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1877
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@45.5C thermal@44.95C Tboard@45C GPU 310/310 CPU 777/765 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1878
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.25C PMIC@100C AUX@44C CPU@45.5C thermal@44.95C Tboard@45C GPU 310/310 CPU 777/765 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1878
