RAM 2209/15815MB (lfb 3160x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1728,0%@1728,0%@1728,16%@1728,0%@1728,16%@1728,0%@1728,33%@1728] EMC_FREQ 0% GR3D_FREQ 11% AO@41.5C GPU@43C Tdiode@44.75C PMIC@100C AUX@43C CPU@44.5C thermal@43.1C Tboard@43C GPU 310/310 CPU 776/820 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2209/15815MB (lfb 3160x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.1C Tboard@43C GPU 310/310 CPU 776/817 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2209/15815MB (lfb 3160x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.1C Tboard@43C GPU 310/310 CPU 776/815 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2209/15815MB (lfb 3160x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.1C Tboard@43C GPU 310/310 CPU 777/812 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1889
RAM 2209/15815MB (lfb 3160x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@43.5C thermal@43.1C Tboard@43C GPU 310/310 CPU 777/810 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1886
RAM 2209/15815MB (lfb 3160x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43C Tdiode@44.75C PMIC@100C AUX@43C CPU@44C thermal@43.1C Tboard@43C GPU 310/310 CPU 777/809 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1884
RAM 2209/15815MB (lfb 3160x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.1C Tboard@43C GPU 310/310 CPU 621/799 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1848/1882
RAM 2209/15815MB (lfb 3160x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.1C Tboard@43C GPU 310/310 CPU 777/798 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1883
RAM 2209/15815MB (lfb 3160x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1574,0%@1574,16%@1574,0%@1574,0%@1574,16%@1574,0%@1574,28%@1574] EMC_FREQ 0% GR3D_FREQ 12% AO@41.5C GPU@43C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.1C Tboard@43C GPU 310/310 CPU 776/797 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1883
RAM 2209/15815MB (lfb 3160x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@41.5C GPU@43C Tdiode@44.75C PMIC@100C AUX@42.5C CPU@44C thermal@43.1C Tboard@43C GPU 310/310 CPU 776/796 SOC 932/932 CV 0/0 VDDRQ 155/155 SYS5V 1889/1883
