RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.9C Tboard@41C GPU 310/310 CPU 932/1630 SOC 1087/1474 CV 0/0 VDDRQ 310/310 SYS5V 1969/2109
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.9C Tboard@41C GPU 310/310 CPU 932/1583 SOC 1087/1448 CV 0/0 VDDRQ 310/310 SYS5V 1969/2100
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 776/1533 SOC 1087/1426 CV 0/0 VDDRQ 310/310 SYS5V 1969/2091
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 776/1488 SOC 1087/1406 CV 0/0 VDDRQ 310/310 SYS5V 1969/2084
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,28%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 776/1449 SOC 1087/1388 CV 0/0 VDDRQ 310/310 SYS5V 1969/2078
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1344,14%@1344,16%@1344,28%@1344,0%@1344,28%@1344,0%@1344,0%@1344] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 776/1413 SOC 932/1364 CV 0/0 VDDRQ 310/310 SYS5V 1969/2072
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [20%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 4% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 777/1381 SOC 932/1342 CV 0/0 VDDRQ 310/310 SYS5V 1929/2065
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 777/1353 SOC 932/1323 CV 0/0 VDDRQ 310/310 SYS5V 1929/2058
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 777/1326 SOC 932/1305 CV 0/0 VDDRQ 310/310 SYS5V 1929/2052
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.1C Tboard@41C GPU 310/310 CPU 777/1302 SOC 932/1289 CV 0/0 VDDRQ 310/310 SYS5V 1929/2047
