RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1340,0%@1266] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 2% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@32.5C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/584 SOC 2171/2171 CV 0/0 VDDRQ 155/238 SYS5V 2210/2225
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1343] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@32.5C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/575 SOC 2171/2171 CV 0/0 VDDRQ 310/243 SYS5V 2210/2224
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1229,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 2% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@32.5C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/568 SOC 2171/2171 CV 0/0 VDDRQ 310/248 SYS5V 2210/2223
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@32.5C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/561 SOC 2171/2171 CV 0/0 VDDRQ 155/242 SYS5V 2210/2222
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [12%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@32.5C CPU@34C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/556 SOC 2171/2171 CV 0/0 VDDRQ 155/237 SYS5V 2210/2221
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266,0%@1270] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/551 SOC 2171/2171 CV 0/0 VDDRQ 310/241 SYS5V 2210/2221
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1340] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/546 SOC 2171/2171 CV 0/0 VDDRQ 155/236 SYS5V 2210/2220
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1339] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/542 SOC 2171/2171 CV 0/0 VDDRQ 310/240 SYS5V 2210/2220
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1420] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/538 SOC 2171/2171 CV 0/0 VDDRQ 310/243 SYS5V 2210/2219
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1267,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/535 SOC 2171/2171 CV 0/0 VDDRQ 310/246 SYS5V 2210/2219
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,12%@1266,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/532 SOC 2171/2171 CV 0/0 VDDRQ 155/242 SYS5V 2210/2218
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1344,0%@1266] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/529 SOC 2171/2171 CV 0/0 VDDRQ 155/238 SYS5V 2210/2218
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1420] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/527 SOC 2171/2171 CV 0/0 VDDRQ 155/235 SYS5V 2210/2218
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1267,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/524 SOC 2171/2171 CV 0/0 VDDRQ 310/238 SYS5V 2210/2217
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,12%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4652/4652 CPU 465/522 SOC 2171/2171 CV 0/0 VDDRQ 155/235 SYS5V 2210/2217
