RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/536 SOC 2171/2171 CV 0/0 VDDRQ 310/262 SYS5V 2210/2231
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/531 SOC 2171/2171 CV 0/0 VDDRQ 155/254 SYS5V 2210/2230
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/527 SOC 2171/2171 CV 0/0 VDDRQ 310/258 SYS5V 2210/2228
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1267,0%@1275] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/523 SOC 2171/2171 CV 0/0 VDDRQ 310/261 SYS5V 2210/2227
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1195,0%@1267,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/519 SOC 2171/2171 CV 0/0 VDDRQ 310/264 SYS5V 2210/2226
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1267,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/516 SOC 2171/2171 CV 0/0 VDDRQ 310/266 SYS5V 2210/2225
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/513 SOC 2171/2171 CV 0/0 VDDRQ 310/269 SYS5V 2210/2224
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266,0%@1270] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/511 SOC 2171/2171 CV 0/0 VDDRQ 155/263 SYS5V 2210/2224
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1267,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/509 SOC 2171/2171 CV 0/0 VDDRQ 155/258 SYS5V 2210/2223
RAM 1489/15815MB (lfb 3394x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1267,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@34C GPU@37.5C Tdiode@37C PMIC@100C AUX@34.5C CPU@36C thermal@35.7C Tboard@35C GPU 4652/4652 CPU 465/507 SOC 2171/2171 CV 0/0 VDDRQ 155/253 SYS5V 2210/2222
