RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [20%@345,off,off,16%@345,14%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 5% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/394 VDD_4V0_WIFI 0/0 VDD_IN 2146/2314 VDD_SYS_CPU 229/288 VDD_SYS_DDR 343/384
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/394 VDD_4V0_WIFI 0/0 VDD_IN 2108/2299 VDD_SYS_CPU 229/284 VDD_SYS_DDR 324/380
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/393 VDD_4V0_WIFI 0/0 VDD_IN 2108/2286 VDD_SYS_CPU 229/280 VDD_SYS_DDR 324/376
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/392 VDD_4V0_WIFI 0/0 VDD_IN 2070/2273 VDD_SYS_CPU 229/277 VDD_SYS_DDR 305/371
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/392 VDD_4V0_WIFI 0/0 VDD_IN 2070/2261 VDD_SYS_CPU 230/274 VDD_SYS_DDR 305/367
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [40%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 7% PLL@31.5C MCPU@31.5C PMIC@100C Tboard@28C GPU@30C BCPU@31.5C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/391 VDD_4V0_WIFI 0/0 VDD_IN 2070/2250 VDD_SYS_CPU 229/271 VDD_SYS_DDR 305/364
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [33%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/391 VDD_4V0_WIFI 0/0 VDD_IN 2070/2241 VDD_SYS_CPU 230/269 VDD_SYS_DDR 305/361
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/390 VDD_4V0_WIFI 0/0 VDD_IN 2031/2230 VDD_SYS_CPU 230/267 VDD_SYS_DDR 286/357
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,16%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/390 VDD_4V0_WIFI 0/0 VDD_IN 2031/2221 VDD_SYS_CPU 230/265 VDD_SYS_DDR 286/354
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/390 VDD_4V0_WIFI 0/0 VDD_IN 2031/2212 VDD_SYS_CPU 230/264 VDD_SYS_DDR 286/351
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/389 VDD_4V0_WIFI 0/0 VDD_IN 2031/2204 VDD_SYS_CPU 230/262 VDD_SYS_DDR 286/348
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 383/389 VDD_4V0_WIFI 0/0 VDD_IN 1993/2195 VDD_SYS_CPU 230/261 VDD_SYS_DDR 267/344
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31.5C MCPU@31.5C PMIC@100C Tboard@28C GPU@30C BCPU@31.5C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/386 VDD_4V0_WIFI 0/0 VDD_IN 1993/2187 VDD_SYS_CPU 230/260 VDD_SYS_DDR 267/341
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/383 VDD_4V0_WIFI 0/0 VDD_IN 1993/2180 VDD_SYS_CPU 153/256 VDD_SYS_DDR 267/338
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,16%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/380 VDD_4V0_WIFI 0/0 VDD_IN 1993/2173 VDD_SYS_CPU 153/252 VDD_SYS_DDR 267/336
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [20%@345,off,off,16%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 5% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/377 VDD_4V0_WIFI 0/0 VDD_IN 1993/2166 VDD_SYS_CPU 230/251 VDD_SYS_DDR 267/333
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/375 VDD_4V0_WIFI 0/0 VDD_IN 1993/2160 VDD_SYS_CPU 153/248 VDD_SYS_DDR 267/331
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/372 VDD_4V0_WIFI 0/0 VDD_IN 1993/2155 VDD_SYS_CPU 153/244 VDD_SYS_DDR 267/329
RAM 1506/7852MB (lfb 1192x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@28C GPU@30C BCPU@31C thermal@30.6C Tdiode@29.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 306/370 VDD_4V0_WIFI 0/0 VDD_IN 1993/2149 VDD_SYS_CPU 153/241 VDD_SYS_DDR 267/327
