RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2531 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2531 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@40C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 459/161 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2798/2538 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@41C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 689/176 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3103/2554 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,16%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@40C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 689/190 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3065/2568 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 613/201 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2988/2579 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 536/209 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2912/2587 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 459/216 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2874/2594 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 459/222 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2836/2600 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 383/225 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2760/2604 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 383/229 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2721/2607 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 383/233 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2721/2609 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 306/234 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2683/2611 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 306/236 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2645/2612 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 306/237 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2645/2612 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 306/239 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2606/2612 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 229/238 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2606/2612 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1235/7860MB (lfb 1346x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 229/238 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2606/2612 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
