Frequency: Avg: 3977.5, Core 0: 3970.4, Core 1: 3989.7, Core 2: 3974.4, Core 3: 3975.3, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 69.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 28.6, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 25.0, Power: package-0,0: 17.7, core,0: 10.6, uncore,0: 0, dram,0: 0.4, psys,0: 24.5, 
Frequency: Avg: 3929.2, Core 0: 3902.4, Core 1: 3902.4, Core 2: 3971.1, Core 3: 3941.0, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 69.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 31.2, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.5, core,0: 11.1, uncore,0: 0, dram,0: 0.5, psys,0: 25.0, 
Frequency: Avg: 3972.1, Core 0: 3958.9, Core 1: 3952.2, Core 2: 3997.5, Core 3: 3979.8, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 69.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 23.1, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 11.5, core,0: 10.7, uncore,0: 0, dram,0: 0.3, psys,0: 16.8, 
Frequency: Avg: 3972.3, Core 0: 3970.4, Core 1: 3934.3, Core 2: 3992.9, Core 3: 3991.5, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 69.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 16.3, core,0: 10.5, uncore,0: 0, dram,0: 0.5, psys,0: 24.0, 
Frequency: Avg: 3958.9, Core 0: 3998.8, Core 1: 3907.2, Core 2: 3994.4, Core 3: 3935.3, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 69.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 15.4, core,0: 11.5, uncore,0: 0, dram,0: 0.4, psys,0: 23.0, 
Frequency: Avg: 3985.9, Core 0: 3998.2, Core 1: 3996.0, Core 2: 3981.0, Core 3: 3968.6, Temp: PackageId0,0: 86.0, Core0,0: 70.0, Core1,0: 86.0, PackageId0,1: 86.0, Core0,1: 70.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.3, core,0: 11.1, uncore,0: 0, dram,0: 0.5, psys,0: 16.9, 
Frequency: Avg: 3951.0, Core 0: 3921.9, Core 1: 3982.2, Core 2: 3906.8, Core 3: 3993.2, Temp: PackageId0,0: 86.0, Core0,0: 70.0, Core1,0: 86.0, PackageId0,1: 86.0, Core0,1: 70.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 25.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.0, core,0: 10.4, uncore,0: 0, dram,0: 0.5, psys,0: 24.5, 
Frequency: Avg: 3961.3, Core 0: 3993.5, Core 1: 3927.5, Core 2: 3930.4, Core 3: 3993.6, Temp: PackageId0,0: 86.0, Core0,0: 70.0, Core1,0: 86.0, PackageId0,1: 86.0, Core0,1: 70.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 20.0, Core 3: 80.0, Power: package-0,0: 14.8, core,0: 7.2, uncore,0: 0, dram,0: 0.4, psys,0: 19.9, 
Frequency: Avg: 3925.0, Core 0: 3994.2, Core 1: 3954.9, Core 2: 3766.5, Core 3: 3984.3, Temp: PackageId0,0: 86.0, Core0,0: 70.0, Core1,0: 86.0, PackageId0,1: 86.0, Core0,1: 70.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.4, core,0: 11.2, uncore,0: 0, dram,0: 0.4, psys,0: 19.5, 
Frequency: Avg: 3976.1, Core 0: 3995.3, Core 1: 3962.4, Core 2: 3951.2, Core 3: 3995.6, Temp: PackageId0,0: 86.0, Core0,0: 70.0, Core1,0: 86.0, PackageId0,1: 86.0, Core0,1: 70.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 16.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 12.1, core,0: 10.7, uncore,0: 0, dram,0: 0.3, psys,0: 25.3, 
Frequency: Avg: 3957.6, Core 0: 3993.7, Core 1: 3922.5, Core 2: 3944.6, Core 3: 3969.5, Temp: PackageId0,0: 86.0, Core0,0: 70.0, Core1,0: 86.0, PackageId0,1: 86.0, Core0,1: 70.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 23.1, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.9, core,0: 11.0, uncore,0: 0, dram,0: 0.5, psys,0: 28.7, 
Frequency: Avg: 3977.1, Core 0: 3996.6, Core 1: 3915.2, Core 2: 3998.7, Core 3: 3997.8, Temp: PackageId0,0: 86.0, Core0,0: 70.0, Core1,0: 86.0, PackageId0,1: 86.0, Core0,1: 70.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 31.3, Core 0: 0.0, Core 1: 0.0, Core 2: 80.0, Core 3: 0.0, Power: package-0,0: 12.0, core,0: 11.1, uncore,0: 0, dram,0: 0.5, psys,0: 25.2, 
Frequency: Avg: 3950.1, Core 0: 3989.7, Core 1: 3900.5, Core 2: 3960.1, Core 3: 3949.9, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 72.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 72.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 29.4, Core 0: 75.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 10.1, core,0: 5.5, uncore,0: 0, dram,0: 0.5, psys,0: 21.1, 
Frequency: Avg: 3986.5, Core 0: 3988.1, Core 1: 3998.0, Core 2: 3998.1, Core 3: 3961.8, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 72.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 72.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 20.0, Power: package-0,0: 22.7, core,0: 15.0, uncore,0: 0, dram,0: 0.6, psys,0: 28.5, 
Frequency: Avg: 3966.9, Core 0: 3993.9, Core 1: 3997.4, Core 2: 3972.2, Core 3: 3903.8, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 72.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 72.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.7, core,0: 11.2, uncore,0: 0, dram,0: 0.3, psys,0: 19.2, 
Frequency: Avg: 3995.7, Core 0: 3997.0, Core 1: 3989.5, Core 2: 3997.6, Core 3: 3998.6, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 72.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 72.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.4, core,0: 10.8, uncore,0: 0, dram,0: 0.5, psys,0: 17.0, 
Frequency: Avg: 3958.6, Core 0: 3957.9, Core 1: 3904.1, Core 2: 3996.2, Core 3: 3976.2, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 72.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 72.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 17.5, core,0: 10.6, uncore,0: 0, dram,0: 0.3, psys,0: 17.3, 
Frequency: Avg: 3974.5, Core 0: 3964.8, Core 1: 3993.7, Core 2: 3990.4, Core 3: 3949.0, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 72.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 72.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.5, core,0: 11.8, uncore,0: 0, dram,0: 0.3, psys,0: 18.1, 
Frequency: Avg: 3954.5, Core 0: 3931.1, Core 1: 3986.9, Core 2: 3978.9, Core 3: 3921.1, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 72.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 72.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 17.6, core,0: 10.7, uncore,0: 0, dram,0: 0.5, psys,0: 24.7, 
Frequency: Avg: 3952.9, Core 0: 3984.9, Core 1: 3904.4, Core 2: 3969.4, Core 3: 3953.0, Temp: PackageId0,0: 85.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 85.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 31.2, Core 0: 100.0, Core 1: 0.0, Core 2: 25.0, Core 3: 0.0, Power: package-0,0: 12.9, core,0: 11.4, uncore,0: 0, dram,0: 0.5, psys,0: 28.1, 
Frequency: Avg: 3966.1, Core 0: 3998.2, Core 1: 3957.8, Core 2: 3912.4, Core 3: 3995.9, Temp: PackageId0,0: 85.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 85.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.6, core,0: 10.6, uncore,0: 0, dram,0: 0.3, psys,0: 16.8, 
