Frequency: Avg: 3971.2, Core 0: 3955.5, Core 1: 3943.4, Core 2: 3996.3, Core 3: 3989.7, Temp: PackageId0,0: 89.0, Core0,0: 73.0, Core1,0: 89.0, PackageId0,1: 89.0, Core0,1: 73.0, Core1,1: 89.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 20.0, Power: package-0,0: 14.4, core,0: 11.5, uncore,0: 0, dram,0: 0.4, psys,0: 16.5, 
Frequency: Avg: 3985.6, Core 0: 3998.0, Core 1: 3975.1, Core 2: 3985.2, Core 3: 3984.2, Temp: PackageId0,0: 89.0, Core0,0: 73.0, Core1,0: 89.0, PackageId0,1: 89.0, Core0,1: 73.0, Core1,1: 89.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.5, core,0: 11.4, uncore,0: 0, dram,0: 0.2, psys,0: 19.9, 
Frequency: Avg: 3994.5, Core 0: 3997.1, Core 1: 3997.8, Core 2: 3998.2, Core 3: 3984.7, Temp: PackageId0,0: 89.0, Core0,0: 73.0, Core1,0: 89.0, PackageId0,1: 89.0, Core0,1: 73.0, Core1,1: 89.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 15.2, core,0: 11.0, uncore,0: 0, dram,0: 0.5, psys,0: 24.8, 
Frequency: Avg: 3967.0, Core 0: 3958.5, Core 1: 3948.9, Core 2: 3975.3, Core 3: 3985.1, Temp: PackageId0,0: 89.0, Core0,0: 73.0, Core1,0: 89.0, PackageId0,1: 89.0, Core0,1: 73.0, Core1,1: 89.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 11.3, core,0: 11.1, uncore,0: 0, dram,0: 0.4, psys,0: 25.9, 
Frequency: Avg: 3981.8, Core 0: 3996.3, Core 1: 3972.2, Core 2: 3980.5, Core 3: 3978.3, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 72.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 20.0, Core 3: 0.0, Power: package-0,0: 13.0, core,0: 12.0, uncore,0: 0, dram,0: 0.4, psys,0: 28.7, 
Frequency: Avg: 3960.4, Core 0: 3991.4, Core 1: 3905.0, Core 2: 3953.7, Core 3: 3991.6, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 72.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 33.3, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 11.2, core,0: 12.1, uncore,0: 0, dram,0: 0.3, psys,0: 17.0, 
Frequency: Avg: 3953.2, Core 0: 3912.1, Core 1: 3966.7, Core 2: 3993.5, Core 3: 3940.4, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 72.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 0.0, Power: package-0,0: 15.7, core,0: 11.0, uncore,0: 0, dram,0: 0.3, psys,0: 24.5, 
Frequency: Avg: 3949.8, Core 0: 3998.5, Core 1: 3907.8, Core 2: 3940.6, Core 3: 3952.2, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 72.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 25.0, Core 3: 0.0, Power: package-0,0: 13.2, core,0: 11.7, uncore,0: 0, dram,0: 0.4, psys,0: 19.1, 
Frequency: Avg: 3994.5, Core 0: 3996.4, Core 1: 3997.9, Core 2: 3997.0, Core 3: 3986.7, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 72.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 15.2, core,0: 10.8, uncore,0: 0, dram,0: 0.3, psys,0: 24.2, 
Frequency: Avg: 3977.7, Core 0: 3996.1, Core 1: 3981.6, Core 2: 3982.0, Core 3: 3951.0, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 72.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.9, core,0: 9.6, uncore,0: 0, dram,0: 0.4, psys,0: 25.4, 
Frequency: Avg: 3990.2, Core 0: 3994.9, Core 1: 3970.9, Core 2: 3998.0, Core 3: 3997.0, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 72.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 66.7, Core 3: 0.0, Power: package-0,0: 13.8, core,0: 10.6, uncore,0: 0, dram,0: 0.2, psys,0: 16.7, 
