Frequency: Avg: 3955.0, Core 0: 3943.0, Core 1: 3991.9, Core 2: 3967.0, Core 3: 3917.9, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 67.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 67.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 23.1, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.5, core,0: 10.6, uncore,0: 0, dram,0: 0.3, psys,0: 16.6, 
Frequency: Avg: 3962.1, Core 0: 3974.7, Core 1: 3977.2, Core 2: 3973.4, Core 3: 3923.0, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 67.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 67.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.4, core,0: 10.9, uncore,0: 0, dram,0: 0.4, psys,0: 28.5, 
Frequency: Avg: 3971.0, Core 0: 3992.9, Core 1: 3994.2, Core 2: 3947.1, Core 3: 3949.9, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 67.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 67.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.2, core,0: 10.7, uncore,0: 0, dram,0: 0.3, psys,0: 17.2, 
Frequency: Avg: 3965.1, Core 0: 3996.2, Core 1: 3977.6, Core 2: 3955.2, Core 3: 3931.5, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 67.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 67.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.3, core,0: 11.4, uncore,0: 0, dram,0: 0.4, psys,0: 19.7, 
Frequency: Avg: 3969.9, Core 0: 3992.2, Core 1: 3993.5, Core 2: 3940.8, Core 3: 3953.2, Temp: PackageId0,0: 84.0, Core0,0: 68.0, Core1,0: 84.0, PackageId0,1: 84.0, Core0,1: 68.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.1, core,0: 11.2, uncore,0: 0, dram,0: 0.5, psys,0: 25.2, 
Frequency: Avg: 3951.8, Core 0: 3916.9, Core 1: 3973.3, Core 2: 3925.2, Core 3: 3991.9, Temp: PackageId0,0: 84.0, Core0,0: 68.0, Core1,0: 84.0, PackageId0,1: 84.0, Core0,1: 68.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 28.6, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 17.3, core,0: 11.2, uncore,0: 0, dram,0: 0.3, psys,0: 17.1, 
Frequency: Avg: 3971.0, Core 0: 3942.2, Core 1: 3955.9, Core 2: 3995.9, Core 3: 3989.9, Temp: PackageId0,0: 84.0, Core0,0: 68.0, Core1,0: 84.0, PackageId0,1: 84.0, Core0,1: 68.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 13.0, core,0: 11.7, uncore,0: 0, dram,0: 0.3, psys,0: 18.3, 
Frequency: Avg: 3953.6, Core 0: 3901.9, Core 1: 3964.5, Core 2: 3997.8, Core 3: 3950.2, Temp: PackageId0,0: 84.0, Core0,0: 68.0, Core1,0: 84.0, PackageId0,1: 84.0, Core0,1: 68.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.0, Util: Avg: 23.1, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 16.5, core,0: 10.6, uncore,0: 0, dram,0: 0.5, psys,0: 16.5, 
Frequency: Avg: 3938.9, Core 0: 3904.0, Core 1: 3902.1, Core 2: 3994.3, Core 3: 3955.4, Temp: PackageId0,0: 84.0, Core0,0: 68.0, Core1,0: 84.0, PackageId0,1: 84.0, Core0,1: 68.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 20.0, Core 0: 0.0, Core 1: 0.0, Core 2: 80.0, Core 3: 25.0, Power: package-0,0: 17.6, core,0: 10.3, uncore,0: 0, dram,0: 0.5, psys,0: 25.1, 
Frequency: Avg: 3988.1, Core 0: 3998.5, Core 1: 3978.5, Core 2: 3986.1, Core 3: 3989.1, Temp: PackageId0,0: 84.0, Core0,0: 68.0, Core1,0: 84.0, PackageId0,1: 84.0, Core0,1: 68.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.0, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 17.9, core,0: 11.3, uncore,0: 0, dram,0: 0.5, psys,0: 28.4, 
Frequency: Avg: 3962.8, Core 0: 3998.3, Core 1: 3942.4, Core 2: 3914.2, Core 3: 3996.2, Temp: PackageId0,0: 84.0, Core0,0: 68.0, Core1,0: 84.0, PackageId0,1: 84.0, Core0,1: 68.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 23.1, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 17.5, core,0: 10.9, uncore,0: 0, dram,0: 0.4, psys,0: 24.6, 
Frequency: Avg: 3950.3, Core 0: 3981.0, Core 1: 3908.0, Core 2: 3933.1, Core 3: 3979.0, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.0, Util: Avg: 23.5, Core 0: 75.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.7, core,0: 11.5, uncore,0: 0, dram,0: 0.4, psys,0: 17.9, 
Frequency: Avg: 3991.0, Core 0: 3995.6, Core 1: 3997.7, Core 2: 3998.0, Core 3: 3972.6, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 66.7, Core 3: 0.0, Power: package-0,0: 11.1, core,0: 10.8, uncore,0: 0, dram,0: 0.3, psys,0: 25.0, 
Frequency: Avg: 3962.9, Core 0: 3993.8, Core 1: 3932.8, Core 2: 3953.8, Core 3: 3971.1, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 23.1, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.9, core,0: 11.0, uncore,0: 0, dram,0: 0.5, psys,0: 28.7, 
Frequency: Avg: 3967.7, Core 0: 3996.0, Core 1: 3901.2, Core 2: 3998.9, Core 3: 3974.6, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.0, Util: Avg: 28.6, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 11.0, core,0: 10.4, uncore,0: 0, dram,0: 0.3, psys,0: 25.4, 
Frequency: Avg: 3969.3, Core 0: 3996.1, Core 1: 3913.5, Core 2: 3976.7, Core 3: 3990.9, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.8, core,0: 11.3, uncore,0: 0, dram,0: 0.3, psys,0: 28.5, 
Frequency: Avg: 3994.6, Core 0: 3996.6, Core 1: 3997.5, Core 2: 3998.2, Core 3: 3986.2, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.0, Util: Avg: 28.6, Core 0: 25.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 15.4, core,0: 10.2, uncore,0: 0, dram,0: 0.5, psys,0: 16.7, 
Frequency: Avg: 3958.9, Core 0: 3986.3, Core 1: 3964.6, Core 2: 3966.1, Core 3: 3918.5, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.0, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.8, core,0: 11.2, uncore,0: 0, dram,0: 0.4, psys,0: 28.6, 
Frequency: Avg: 3964.5, Core 0: 3979.8, Core 1: 3923.8, Core 2: 3995.4, Core 3: 3958.9, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 31.2, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 0.0, Power: package-0,0: 16.2, core,0: 10.2, uncore,0: 0, dram,0: 0.4, psys,0: 24.7, 
Frequency: Avg: 3975.9, Core 0: 3998.1, Core 1: 3925.7, Core 2: 3986.9, Core 3: 3992.8, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 28.6, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.0, core,0: 10.8, uncore,0: 0, dram,0: 0.5, psys,0: 28.7, 
Frequency: Avg: 3975.9, Core 0: 3998.2, Core 1: 3958.9, Core 2: 3949.7, Core 3: 3996.7, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 28.6, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 15.6, core,0: 11.2, uncore,0: 0, dram,0: 0.3, psys,0: 16.4, 
Frequency: Avg: 3969.1, Core 0: 3982.2, Core 1: 3920.4, Core 2: 3996.1, Core 3: 3977.6, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 80.0, Core 3: 25.0, Power: package-0,0: 17.4, core,0: 10.9, uncore,0: 0, dram,0: 0.5, psys,0: 25.0, 
Frequency: Avg: 3955.2, Core 0: 3996.2, Core 1: 3913.9, Core 2: 3958.4, Core 3: 3952.2, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.7, core,0: 11.2, uncore,0: 0, dram,0: 0.3, psys,0: 19.4, 
Frequency: Avg: 3969.3, Core 0: 3998.6, Core 1: 3995.3, Core 2: 3918.2, Core 3: 3965.2, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.0, Util: Avg: 25.0, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 10.3, core,0: 8.5, uncore,0: 0, dram,0: 0.3, psys,0: 17.9, 
Frequency: Avg: 3955.0, Core 0: 3954.4, Core 1: 3978.8, Core 2: 3982.8, Core 3: 3904.2, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 0.0, Power: package-0,0: 11.7, core,0: 10.2, uncore,0: 0, dram,0: 0.3, psys,0: 17.0, 
Frequency: Avg: 3987.3, Core 0: 3975.5, Core 1: 3978.8, Core 2: 3997.4, Core 3: 3997.4, Temp: PackageId0,0: 84.0, Core0,0: 68.0, Core1,0: 84.0, PackageId0,1: 84.0, Core0,1: 68.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 31.2, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 22.3, core,0: 16.2, uncore,0: 0, dram,0: 0.5, psys,0: 26.9, 
Frequency: Avg: 3970.3, Core 0: 3995.9, Core 1: 3919.6, Core 2: 3982.6, Core 3: 3982.9, Temp: PackageId0,0: 84.0, Core0,0: 68.0, Core1,0: 84.0, PackageId0,1: 84.0, Core0,1: 68.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 23.1, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.9, core,0: 10.7, uncore,0: 0, dram,0: 0.4, psys,0: 19.6, 
Frequency: Avg: 3972.4, Core 0: 3996.0, Core 1: 3909.0, Core 2: 3994.0, Core 3: 3990.5, Temp: PackageId0,0: 84.0, Core0,0: 68.0, Core1,0: 84.0, PackageId0,1: 84.0, Core0,1: 68.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 11.5, core,0: 10.3, uncore,0: 0, dram,0: 0.5, psys,0: 25.5, 
Frequency: Avg: 3960.8, Core 0: 3995.8, Core 1: 3917.4, Core 2: 3970.0, Core 3: 3959.9, Temp: PackageId0,0: 84.0, Core0,0: 68.0, Core1,0: 84.0, PackageId0,1: 84.0, Core0,1: 68.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 23.5, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 25.0, Power: package-0,0: 16.2, core,0: 10.5, uncore,0: 0, dram,0: 0.4, psys,0: 24.2, 
Frequency: Avg: 3971.0, Core 0: 3987.2, Core 1: 3917.1, Core 2: 3993.9, Core 3: 3985.7, Temp: PackageId0,0: 84.0, Core0,0: 68.0, Core1,0: 84.0, PackageId0,1: 84.0, Core0,1: 68.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 16.7, core,0: 11.1, uncore,0: 0, dram,0: 0.5, psys,0: 17.0, 
Frequency: Avg: 3949.3, Core 0: 3976.3, Core 1: 3906.4, Core 2: 3966.1, Core 3: 3948.5, Temp: PackageId0,0: 84.0, Core0,0: 68.0, Core1,0: 84.0, PackageId0,1: 84.0, Core0,1: 68.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 21.4, core,0: 10.9, uncore,0: 0, dram,0: 0.5, psys,0: 29.7, 
Frequency: Avg: 3980.1, Core 0: 3988.6, Core 1: 3997.5, Core 2: 3993.0, Core 3: 3941.4, Temp: PackageId0,0: 84.0, Core0,0: 68.0, Core1,0: 84.0, PackageId0,1: 84.0, Core0,1: 68.0, Core1,1: 84.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 31.3, Core 0: 0.0, Core 1: 100.0, Core 2: 20.0, Core 3: 0.0, Power: package-0,0: 15.1, core,0: 10.8, uncore,0: 0, dram,0: 0.3, psys,0: 16.4, 
Frequency: Avg: 3970.2, Core 0: 3976.0, Core 1: 3987.2, Core 2: 3996.9, Core 3: 3920.8, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 13.8, core,0: 11.7, uncore,0: 0, dram,0: 0.3, psys,0: 19.2, 
Frequency: Avg: 3985.3, Core 0: 3998.5, Core 1: 3974.6, Core 2: 3988.4, Core 3: 3979.9, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.0, Util: Avg: 23.1, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.7, core,0: 11.0, uncore,0: 0, dram,0: 0.4, psys,0: 19.8, 
Frequency: Avg: 3990.2, Core 0: 3998.5, Core 1: 3998.7, Core 2: 3983.9, Core 3: 3979.7, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.4, core,0: 12.1, uncore,0: 0, dram,0: 0.5, psys,0: 26.1, 
Frequency: Avg: 3970.7, Core 0: 3997.6, Core 1: 3988.5, Core 2: 3902.4, Core 3: 3994.2, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.3, core,0: 11.0, uncore,0: 0, dram,0: 0.3, psys,0: 16.9, 
Frequency: Avg: 3973.2, Core 0: 3977.0, Core 1: 3942.5, Core 2: 3994.1, Core 3: 3979.4, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 16.6, core,0: 10.4, uncore,0: 0, dram,0: 0.5, psys,0: 25.3, 
Frequency: Avg: 3963.2, Core 0: 3991.5, Core 1: 3928.9, Core 2: 3955.4, Core 3: 3976.9, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.9, core,0: 10.6, uncore,0: 0, dram,0: 0.4, psys,0: 19.4, 
Frequency: Avg: 3965.9, Core 0: 3995.0, Core 1: 3906.8, Core 2: 3989.9, Core 3: 3971.7, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 28.6, Core 0: 0.0, Core 1: 0.0, Core 2: 80.0, Core 3: 0.0, Power: package-0,0: 16.4, core,0: 10.4, uncore,0: 0, dram,0: 0.3, psys,0: 17.2, 
Frequency: Avg: 3962.4, Core 0: 3994.4, Core 1: 3968.1, Core 2: 3970.9, Core 3: 3916.2, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 23.1, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 19.0, core,0: 11.3, uncore,0: 0, dram,0: 0.5, psys,0: 28.1, 
Frequency: Avg: 3896.9, Core 0: 3901.6, Core 1: 3895.9, Core 2: 3895.1, Core 3: 3895.2, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 94.4, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 100.0, Power: package-0,0: 21.0, core,0: 15.3, uncore,0: 0, dram,0: 0.4, psys,0: 34.9, 
Frequency: Avg: 3936.0, Core 0: 3978.7, Core 1: 3959.6, Core 2: 3902.7, Core 3: 3902.9, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 19.2, core,0: 11.1, uncore,0: 0, dram,0: 0.5, psys,0: 28.1, 
Frequency: Avg: 3985.9, Core 0: 3993.7, Core 1: 3958.8, Core 2: 3995.3, Core 3: 3995.9, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 80.0, Core 3: 25.0, Power: package-0,0: 10.9, core,0: 10.4, uncore,0: 0, dram,0: 0.4, psys,0: 24.8, 
