Frequency: Avg: 3972.3, Core 0: 3993.5, Core 1: 3965.4, Core 2: 3937.0, Core 3: 3993.2, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 23.1, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 10.7, core,0: 10.7, uncore,0: 0, dram,0: 0.3, psys,0: 24.8, 
Frequency: Avg: 3977.6, Core 0: 3981.2, Core 1: 3997.0, Core 2: 3996.8, Core 3: 3935.3, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 29.4, Core 0: 25.0, Core 1: 0.0, Core 2: 80.0, Core 3: 0.0, Power: package-0,0: 10.9, core,0: 8.8, uncore,0: 0, dram,0: 0.4, psys,0: 19.4, 
Frequency: Avg: 3966.6, Core 0: 3903.4, Core 1: 3994.3, Core 2: 3974.0, Core 3: 3994.6, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 18.6, core,0: 10.7, uncore,0: 0, dram,0: 0.5, psys,0: 26.4, 
Frequency: Avg: 3968.2, Core 0: 3940.4, Core 1: 3950.6, Core 2: 3995.8, Core 3: 3986.1, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 15.9, core,0: 11.1, uncore,0: 0, dram,0: 0.4, psys,0: 24.0, 
Frequency: Avg: 3964.0, Core 0: 3973.1, Core 1: 3915.4, Core 2: 3979.5, Core 3: 3988.1, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.3, core,0: 10.1, uncore,0: 0, dram,0: 0.4, psys,0: 16.3, 
Frequency: Avg: 3964.2, Core 0: 3935.6, Core 1: 3945.3, Core 2: 3996.4, Core 3: 3979.6, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 16.1, core,0: 10.6, uncore,0: 0, dram,0: 0.5, psys,0: 25.5, 
Frequency: Avg: 3969.5, Core 0: 3933.6, Core 1: 3989.5, Core 2: 3988.5, Core 3: 3966.5, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.6, core,0: 11.0, uncore,0: 0, dram,0: 0.5, psys,0: 24.2, 
Frequency: Avg: 3984.4, Core 0: 3998.5, Core 1: 3988.8, Core 2: 3988.7, Core 3: 3961.7, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 20.0, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.7, core,0: 11.2, uncore,0: 0, dram,0: 0.3, psys,0: 18.7, 
Frequency: Avg: 3990.2, Core 0: 3995.5, Core 1: 3997.6, Core 2: 3998.4, Core 3: 3969.4, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 15.8, core,0: 11.4, uncore,0: 0, dram,0: 0.3, psys,0: 17.0, 
Frequency: Avg: 3976.0, Core 0: 3929.4, Core 1: 3988.2, Core 2: 3997.2, Core 3: 3989.4, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 11.6, core,0: 11.2, uncore,0: 0, dram,0: 0.3, psys,0: 17.1, 
Frequency: Avg: 3968.7, Core 0: 3992.2, Core 1: 3942.0, Core 2: 3969.9, Core 3: 3970.7, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 23.1, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.5, core,0: 11.9, uncore,0: 0, dram,0: 0.3, psys,0: 19.8, 
Frequency: Avg: 3972.1, Core 0: 3997.4, Core 1: 3943.7, Core 2: 3955.6, Core 3: 3991.7, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.3, core,0: 11.1, uncore,0: 0, dram,0: 0.3, psys,0: 17.0, 
Frequency: Avg: 3962.3, Core 0: 3981.2, Core 1: 3907.1, Core 2: 3991.7, Core 3: 3969.2, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 31.2, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 11.5, core,0: 10.5, uncore,0: 0, dram,0: 0.4, psys,0: 24.1, 
Frequency: Avg: 3972.8, Core 0: 3996.4, Core 1: 3997.5, Core 2: 3961.0, Core 3: 3936.4, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 17.3, core,0: 10.6, uncore,0: 0, dram,0: 0.5, psys,0: 28.4, 
Frequency: Avg: 3978.5, Core 0: 3997.5, Core 1: 3998.5, Core 2: 3998.4, Core 3: 3919.6, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 28.6, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 0.0, Power: package-0,0: 17.1, core,0: 10.5, uncore,0: 0, dram,0: 0.5, psys,0: 24.9, 
Frequency: Avg: 3971.0, Core 0: 3973.9, Core 1: 3953.1, Core 2: 3971.4, Core 3: 3985.7, Temp: PackageId0,0: 87.0, Core0,0: 71.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 71.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 20.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 17.4, core,0: 11.1, uncore,0: 0, dram,0: 0.5, psys,0: 25.5, 
Frequency: Avg: 3967.9, Core 0: 3996.1, Core 1: 3914.5, Core 2: 3982.1, Core 3: 3978.9, Temp: PackageId0,0: 87.0, Core0,0: 71.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 71.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.4, core,0: 11.2, uncore,0: 0, dram,0: 0.5, psys,0: 28.9, 
Frequency: Avg: 3975.3, Core 0: 3996.7, Core 1: 3997.1, Core 2: 3948.6, Core 3: 3958.6, Temp: PackageId0,0: 87.0, Core0,0: 71.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 71.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 25.0, Core 0: 75.0, Core 1: 0.0, Core 2: 0.0, Core 3: 25.0, Power: package-0,0: 18.7, core,0: 10.3, uncore,0: 0, dram,0: 0.5, psys,0: 27.1, 
Frequency: Avg: 3991.7, Core 0: 3996.0, Core 1: 3974.1, Core 2: 3998.6, Core 3: 3998.1, Temp: PackageId0,0: 87.0, Core0,0: 71.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 71.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 15.5, core,0: 10.4, uncore,0: 0, dram,0: 0.5, psys,0: 16.6, 
Frequency: Avg: 3962.7, Core 0: 3914.7, Core 1: 3992.6, Core 2: 3979.5, Core 3: 3964.0, Temp: PackageId0,0: 87.0, Core0,0: 71.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 71.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 23.1, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.8, core,0: 11.3, uncore,0: 0, dram,0: 0.5, psys,0: 26.0, 
Frequency: Avg: 3955.5, Core 0: 3993.8, Core 1: 3926.3, Core 2: 3998.8, Core 3: 3903.1, Temp: PackageId0,0: 87.0, Core0,0: 71.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 71.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 25.0, Core 0: 20.0, Core 1: 0.0, Core 2: 75.0, Core 3: 0.0, Power: package-0,0: 16.0, core,0: 15.2, uncore,0: 0, dram,0: 0.5, psys,0: 26.2, 
Frequency: Avg: 3986.6, Core 0: 3966.8, Core 1: 3986.3, Core 2: 3998.8, Core 3: 3994.4, Temp: PackageId0,0: 87.0, Core0,0: 71.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 71.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 20.0, Power: package-0,0: 14.0, core,0: 12.1, uncore,0: 0, dram,0: 0.3, psys,0: 19.8, 
Frequency: Avg: 3954.4, Core 0: 3992.0, Core 1: 3905.5, Core 2: 3977.3, Core 3: 3943.0, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 31.2, Core 0: 100.0, Core 1: 0.0, Core 2: 20.0, Core 3: 0.0, Power: package-0,0: 14.0, core,0: 11.4, uncore,0: 0, dram,0: 0.4, psys,0: 19.5, 
Frequency: Avg: 3963.4, Core 0: 3998.6, Core 1: 3946.3, Core 2: 3912.5, Core 3: 3996.1, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 23.1, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.0, core,0: 11.7, uncore,0: 0, dram,0: 0.3, psys,0: 16.9, 
Frequency: Avg: 3986.7, Core 0: 3987.7, Core 1: 3997.3, Core 2: 3998.1, Core 3: 3963.8, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 16.7, core,0: 11.2, uncore,0: 0, dram,0: 0.3, psys,0: 16.5, 
Frequency: Avg: 3944.0, Core 0: 3902.1, Core 1: 3988.2, Core 2: 3967.0, Core 3: 3918.7, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.8, core,0: 11.2, uncore,0: 0, dram,0: 0.3, psys,0: 17.7, 
Frequency: Avg: 3975.9, Core 0: 3993.6, Core 1: 3932.7, Core 2: 3979.1, Core 3: 3998.2, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 31.2, Core 0: 20.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.5, core,0: 10.8, uncore,0: 0, dram,0: 0.4, psys,0: 24.4, 
Frequency: Avg: 3963.0, Core 0: 3988.0, Core 1: 3952.8, Core 2: 3930.7, Core 3: 3980.5, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 17.2, core,0: 10.7, uncore,0: 0, dram,0: 0.5, psys,0: 24.8, 
