Frequency: Avg: 3986.3, Core 0: 3984.5, Core 1: 3971.5, Core 2: 3996.4, Core 3: 3993.0, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 69.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 28.6, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 20.0, Power: package-0,0: 17.7, core,0: 10.7, uncore,0: 0, dram,0: 0.3, psys,0: 17.1, 
Frequency: Avg: 3958.0, Core 0: 3996.6, Core 1: 3902.6, Core 2: 3980.5, Core 3: 3952.2, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 69.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.9, core,0: 11.0, uncore,0: 0, dram,0: 0.4, psys,0: 19.7, 
Frequency: Avg: 3984.3, Core 0: 3997.9, Core 1: 3954.7, Core 2: 3986.1, Core 3: 3998.5, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 69.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 75.0, Power: package-0,0: 18.8, core,0: 13.0, uncore,0: 0, dram,0: 0.4, psys,0: 18.2, 
Frequency: Avg: 3971.4, Core 0: 3986.9, Core 1: 3927.0, Core 2: 3994.7, Core 3: 3976.9, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 69.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 0.0, Power: package-0,0: 16.3, core,0: 10.2, uncore,0: 0, dram,0: 0.5, psys,0: 25.1, 
Frequency: Avg: 3955.5, Core 0: 3996.4, Core 1: 3914.2, Core 2: 3959.4, Core 3: 3952.0, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 69.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.7, core,0: 10.7, uncore,0: 0, dram,0: 0.4, psys,0: 19.7, 
Frequency: Avg: 3971.4, Core 0: 3997.5, Core 1: 3989.6, Core 2: 3916.0, Core 3: 3982.4, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 69.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 21.5, core,0: 12.0, uncore,0: 2.5, dram,0: 0.6, psys,0: 16.4, 
Frequency: Avg: 3981.6, Core 0: 3984.1, Core 1: 3978.9, Core 2: 3994.3, Core 3: 3969.2, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 69.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 16.3, core,0: 10.5, uncore,0: 0, dram,0: 0.4, psys,0: 23.6, 
Frequency: Avg: 3974.3, Core 0: 3995.8, Core 1: 3937.7, Core 2: 3976.4, Core 3: 3987.4, Temp: PackageId0,0: 84.0, Core0,0: 85.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 85.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 23.1, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.4, core,0: 11.3, uncore,0: 0, dram,0: 0.5, psys,0: 29.4, 
Frequency: Avg: 3985.0, Core 0: 3995.1, Core 1: 3951.7, Core 2: 3996.2, Core 3: 3997.1, Temp: PackageId0,0: 84.0, Core0,0: 85.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 85.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 16.6, core,0: 10.7, uncore,0: 0, dram,0: 0.3, psys,0: 16.2, 
Frequency: Avg: 3951.2, Core 0: 3907.1, Core 1: 3996.3, Core 2: 3981.8, Core 3: 3919.5, Temp: PackageId0,0: 84.0, Core0,0: 85.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 85.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.0, core,0: 10.3, uncore,0: 0, dram,0: 0.5, psys,0: 24.6, 
Frequency: Avg: 3963.6, Core 0: 3998.1, Core 1: 3926.7, Core 2: 3960.7, Core 3: 3968.9, Temp: PackageId0,0: 84.0, Core0,0: 85.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 85.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.0, core,0: 10.9, uncore,0: 0, dram,0: 0.3, psys,0: 19.5, 
