Frequency: Avg: 3966.6, Core 0: 3981.0, Core 1: 3931.8, Core 2: 3992.0, Core 3: 3961.6, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 18.0, core,0: 11.3, uncore,0: 0, dram,0: 0.5, psys,0: 26.3, 
Frequency: Avg: 3971.0, Core 0: 3993.7, Core 1: 3925.8, Core 2: 3976.5, Core 3: 3988.1, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 28.6, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.7, core,0: 11.6, uncore,0: 0, dram,0: 0.3, psys,0: 18.9, 
Frequency: Avg: 3975.2, Core 0: 3992.6, Core 1: 3963.6, Core 2: 3950.1, Core 3: 3994.3, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 28.6, Core 0: 25.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 17.0, core,0: 11.0, uncore,0: 0, dram,0: 0.3, psys,0: 16.8, 
Frequency: Avg: 3966.2, Core 0: 3996.5, Core 1: 3923.8, Core 2: 3966.6, Core 3: 3978.0, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 28.6, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 19.3, core,0: 11.2, uncore,0: 0, dram,0: 0.5, psys,0: 29.2, 
Frequency: Avg: 3973.9, Core 0: 3992.7, Core 1: 3964.0, Core 2: 3944.7, Core 3: 3994.1, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 23.1, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 14.0, core,0: 11.4, uncore,0: 0, dram,0: 0.5, psys,0: 27.3, 
Frequency: Avg: 3961.7, Core 0: 3996.3, Core 1: 3919.6, Core 2: 3955.9, Core 3: 3974.8, Temp: PackageId0,0: 84.0, Core0,0: 84.0, Core1,0: 68.0, PackageId0,1: 84.0, Core0,1: 84.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 33.3, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.5, core,0: 11.3, uncore,0: 0, dram,0: 0.4, psys,0: 19.5, 
Frequency: Avg: 3962.5, Core 0: 3978.6, Core 1: 3901.5, Core 2: 3995.2, Core 3: 3974.7, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 68.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 33.3, Core 0: 0.0, Core 1: 0.0, Core 2: 80.0, Core 3: 0.0, Power: package-0,0: 18.6, core,0: 11.7, uncore,0: 0, dram,0: 0.4, psys,0: 17.6, 
Frequency: Avg: 3955.9, Core 0: 3994.4, Core 1: 3905.1, Core 2: 3971.8, Core 3: 3952.3, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 68.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.1, core,0: 11.4, uncore,0: 0, dram,0: 0.4, psys,0: 19.7, 
Frequency: Avg: 3972.3, Core 0: 3994.8, Core 1: 3971.3, Core 2: 3926.1, Core 3: 3996.9, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 68.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.0, Util: Avg: 25.0, Core 0: 0.0, Core 1: 20.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 18.3, core,0: 11.3, uncore,0: 0, dram,0: 0.5, psys,0: 25.9, 
Frequency: Avg: 3964.0, Core 0: 3974.8, Core 1: 3908.1, Core 2: 3996.5, Core 3: 3976.5, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 68.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 83.3, Core 3: 0.0, Power: package-0,0: 17.0, core,0: 11.0, uncore,0: 0, dram,0: 0.5, psys,0: 26.0, 
Frequency: Avg: 3968.4, Core 0: 3994.4, Core 1: 3966.8, Core 2: 3975.3, Core 3: 3937.1, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 68.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 66.5, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 19.4, core,0: 11.1, uncore,0: 0, dram,0: 0.5, psys,0: 28.9, 
