Frequency: Avg: 3982.3, Core 0: 3996.8, Core 1: 3996.1, Core 2: 3975.5, Core 3: 3960.7, Temp: PackageId0,0: 88.0, Core0,0: 71.0, Core1,0: 88.0, PackageId0,1: 88.0, Core0,1: 71.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 28.6, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 17.6, core,0: 11.4, uncore,0: 0, dram,0: 0.4, psys,0: 19.1, 
Frequency: Avg: 3985.6, Core 0: 3997.1, Core 1: 3998.0, Core 2: 3993.1, Core 3: 3954.1, Temp: PackageId0,0: 88.0, Core0,0: 71.0, Core1,0: 88.0, PackageId0,1: 88.0, Core0,1: 71.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 10.9, core,0: 10.9, uncore,0: 0, dram,0: 0.4, psys,0: 24.0, 
Frequency: Avg: 3957.3, Core 0: 3906.4, Core 1: 3929.0, Core 2: 3997.8, Core 3: 3996.0, Temp: PackageId0,0: 88.0, Core0,0: 71.0, Core1,0: 88.0, PackageId0,1: 88.0, Core0,1: 71.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 9.7, core,0: 9.5, uncore,0: 0.5, dram,0: 0.4, psys,0: 22.8, 
Frequency: Avg: 3982.3, Core 0: 3988.8, Core 1: 3981.8, Core 2: 3965.4, Core 3: 3993.2, Temp: PackageId0,0: 88.0, Core0,0: 71.0, Core1,0: 88.0, PackageId0,1: 88.0, Core0,1: 71.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 83.3, Power: package-0,0: 10.8, core,0: 10.6, uncore,0: 0, dram,0: 0.4, psys,0: 24.5, 
Frequency: Avg: 3964.7, Core 0: 3994.4, Core 1: 3996.2, Core 2: 3927.2, Core 3: 3941.0, Temp: PackageId0,0: 88.0, Core0,0: 71.0, Core1,0: 88.0, PackageId0,1: 88.0, Core0,1: 71.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 17.5, core,0: 11.0, uncore,0: 0, dram,0: 0.5, psys,0: 16.9, 
Frequency: Avg: 3958.9, Core 0: 3972.3, Core 1: 3971.9, Core 2: 3990.5, Core 3: 3901.1, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 11.3, core,0: 10.4, uncore,0: 0, dram,0: 0.5, psys,0: 26.5, 
Frequency: Avg: 3970.3, Core 0: 3997.5, Core 1: 3929.9, Core 2: 3989.3, Core 3: 3964.6, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.8, core,0: 11.6, uncore,0: 0, dram,0: 0.3, psys,0: 18.5, 
Frequency: Avg: 3969.9, Core 0: 3984.3, Core 1: 3902.7, Core 2: 3995.9, Core 3: 3996.8, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 10.7, core,0: 10.5, uncore,0: 0, dram,0: 0.3, psys,0: 25.2, 
Frequency: Avg: 3949.3, Core 0: 3907.7, Core 1: 3993.9, Core 2: 3975.4, Core 3: 3920.1, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 23.1, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.0, core,0: 11.4, uncore,0: 0, dram,0: 0.3, psys,0: 26.3, 
Frequency: Avg: 3949.1, Core 0: 3912.0, Core 1: 3972.5, Core 2: 3916.7, Core 3: 3995.3, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.6, core,0: 10.9, uncore,0: 0, dram,0: 0.3, psys,0: 16.7, 
Frequency: Avg: 3966.9, Core 0: 3998.3, Core 1: 3991.1, Core 2: 3952.8, Core 3: 3925.5, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 20.0, Core 3: 0.0, Power: package-0,0: 17.9, core,0: 11.3, uncore,0: 0, dram,0: 0.4, psys,0: 19.4, 
Frequency: Avg: 3970.3, Core 0: 3998.4, Core 1: 3983.7, Core 2: 3918.4, Core 3: 3980.9, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 31.2, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 10.8, core,0: 7.2, uncore,0: 0, dram,0: 0.4, psys,0: 19.5, 
Frequency: Avg: 3986.8, Core 0: 3969.5, Core 1: 3998.0, Core 2: 3993.2, Core 3: 3986.4, Temp: PackageId0,0: 87.0, Core0,0: 71.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 71.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 33.3, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.3, core,0: 10.7, uncore,0: 0, dram,0: 0.5, psys,0: 25.1, 
Frequency: Avg: 3982.5, Core 0: 3996.1, Core 1: 3965.8, Core 2: 3974.3, Core 3: 3993.6, Temp: PackageId0,0: 87.0, Core0,0: 71.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 71.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 19.1, core,0: 11.4, uncore,0: 0, dram,0: 0.5, psys,0: 28.2, 
Frequency: Avg: 3975.6, Core 0: 3992.5, Core 1: 3962.4, Core 2: 3953.2, Core 3: 3994.4, Temp: PackageId0,0: 87.0, Core0,0: 71.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 71.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.3, core,0: 10.5, uncore,0: 0, dram,0: 0.4, psys,0: 24.8, 
Frequency: Avg: 3956.0, Core 0: 3933.3, Core 1: 3994.0, Core 2: 3908.9, Core 3: 3987.8, Temp: PackageId0,0: 87.0, Core0,0: 71.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 71.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.6, core,0: 10.6, uncore,0: 0, dram,0: 0.5, psys,0: 24.6, 
Frequency: Avg: 3974.4, Core 0: 3952.5, Core 1: 3948.2, Core 2: 3998.6, Core 3: 3998.1, Temp: PackageId0,0: 87.0, Core0,0: 71.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 71.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 0.0, Power: package-0,0: 16.5, core,0: 10.5, uncore,0: 0, dram,0: 0.5, psys,0: 24.9, 
Frequency: Avg: 3978.0, Core 0: 3997.0, Core 1: 3983.3, Core 2: 3976.6, Core 3: 3955.0, Temp: PackageId0,0: 87.0, Core0,0: 71.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 71.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.7, core,0: 12.1, uncore,0: 0, dram,0: 0.4, psys,0: 20.4, 
Frequency: Avg: 3985.2, Core 0: 3997.9, Core 1: 3997.5, Core 2: 3966.7, Core 3: 3978.9, Temp: PackageId0,0: 87.0, Core0,0: 71.0, Core1,0: 87.0, PackageId0,1: 87.0, Core0,1: 71.0, Core1,1: 87.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 31.2, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.2, core,0: 10.5, uncore,0: 0, dram,0: 0.3, psys,0: 16.4, 
Frequency: Avg: 3969.9, Core 0: 3994.5, Core 1: 3988.5, Core 2: 3957.7, Core 3: 3938.7, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.1, core,0: 13.2, uncore,0: 0, dram,0: 0.4, psys,0: 18.8, 
