Frequency: Avg: 3968.8, Core 0: 3989.5, Core 1: 3984.2, Core 2: 3954.1, Core 3: 3947.3, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 72.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.0, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 10.5, core,0: 10.7, uncore,0: 0, dram,0: 0.6, psys,0: 25.3, 
Frequency: Avg: 3983.4, Core 0: 3986.8, Core 1: 3964.4, Core 2: 3997.7, Core 3: 3984.7, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 72.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.0, Util: Avg: 25.0, Core 0: 20.0, Core 1: 0.0, Core 2: 100.0, Core 3: 20.0, Power: package-0,0: 10.6, core,0: 11.3, uncore,0: 0, dram,0: 0.2, psys,0: 17.9, 
Frequency: Avg: 3953.8, Core 0: 3994.0, Core 1: 3903.4, Core 2: 3968.2, Core 3: 3949.8, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 72.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.0, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 17.2, core,0: 11.3, uncore,0: 0, dram,0: 0.4, psys,0: 27.3, 
Frequency: Avg: 3981.0, Core 0: 3995.6, Core 1: 3944.8, Core 2: 3995.7, Core 3: 3987.9, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 72.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.0, Util: Avg: 28.6, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 0.0, Power: package-0,0: 17.4, core,0: 12.2, uncore,0: 0, dram,0: 0.3, psys,0: 18.0, 
Frequency: Avg: 3971.9, Core 0: 3996.2, Core 1: 3971.2, Core 2: 3967.0, Core 3: 3953.2, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 72.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.0, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.8, core,0: 10.7, uncore,0: 0, dram,0: 0.4, psys,0: 27.5, 
Frequency: Avg: 3966.9, Core 0: 3989.5, Core 1: 3939.7, Core 2: 3948.3, Core 3: 3990.0, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 72.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 15.1, core,0: 10.6, uncore,0: 0, dram,0: 0.3, psys,0: 16.4, 
Frequency: Avg: 3970.9, Core 0: 3976.1, Core 1: 3935.6, Core 2: 3993.6, Core 3: 3978.2, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 72.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 14.9, core,0: 10.3, uncore,0: 0, dram,0: 0.4, psys,0: 25.1, 
Frequency: Avg: 3952.1, Core 0: 3983.6, Core 1: 3911.6, Core 2: 3961.5, Core 3: 3951.6, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 72.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 71.5, Util: Avg: 18.7, Core 0: 80.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 14.8, core,0: 10.6, uncore,0: 0, dram,0: 0.6, psys,0: 23.8, 
Frequency: Avg: 3965.9, Core 0: 3977.7, Core 1: 3979.3, Core 2: 3912.3, Core 3: 3994.3, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 72.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 13.9, core,0: 11.2, uncore,0: 0, dram,0: 0.2, psys,0: 15.7, 
Frequency: Avg: 3959.7, Core 0: 3998.4, Core 1: 3928.6, Core 2: 3935.9, Core 3: 3976.0, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 72.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 72.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.0, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.3, core,0: 11.0, uncore,0: 0, dram,0: 0.2, psys,0: 28.9, 
Frequency: Avg: 3965.6, Core 0: 3993.6, Core 1: 3982.0, Core 2: 3962.4, Core 3: 3924.2, Temp: PackageId0,0: 89.0, Core0,0: 89.0, Core1,0: 73.0, PackageId0,1: 89.0, Core0,1: 89.0, Core1,1: 73.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.0, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 17.4, core,0: 12.0, uncore,0: 0, dram,0: 0.3, psys,0: 19.2, 
