Frequency: Avg: 3972.7, Core 0: 3984.3, Core 1: 3968.7, Core 2: 3984.4, Core 3: 3953.4, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 15.1, core,0: 10.1, uncore,0: 0, dram,0: 0.3, psys,0: 24.4, 
Frequency: Avg: 3967.5, Core 0: 3921.0, Core 1: 3973.4, Core 2: 3989.2, Core 3: 3986.5, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 26.7, Core 0: 20.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 10.4, core,0: 10.5, uncore,0: 0, dram,0: 0.4, psys,0: 16.7, 
Frequency: Avg: 3981.2, Core 0: 3996.2, Core 1: 3997.2, Core 2: 3995.3, Core 3: 3936.1, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 20.0, Power: package-0,0: 14.0, core,0: 10.6, uncore,0: 0, dram,0: 0.3, psys,0: 23.8, 
Frequency: Avg: 3926.9, Core 0: 3900.8, Core 1: 3900.8, Core 2: 3965.4, Core 3: 3940.8, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 63.2, Core 0: 75.0, Core 1: 50.0, Core 2: 83.3, Core 3: 50.0, Power: package-0,0: 23.0, core,0: 19.8, uncore,0: 0, dram,0: 1.3, psys,0: 26.0, 
Frequency: Avg: 3909.6, Core 0: 3936.6, Core 1: 3900.0, Core 2: 3901.6, Core 3: 3900.0, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 33.3, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 14.0, core,0: 11.4, uncore,0: 0, dram,0: 0.4, psys,0: 19.7, 
Frequency: Avg: 3961.5, Core 0: 3984.9, Core 1: 3951.1, Core 2: 3932.2, Core 3: 3977.9, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 68.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 17.0, core,0: 11.7, uncore,0: 0, dram,0: 0.3, psys,0: 17.1, 
Frequency: Avg: 3980.1, Core 0: 3959.5, Core 1: 3993.5, Core 2: 3997.2, Core 3: 3970.1, Temp: PackageId0,0: 85.0, Core0,0: 69.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 69.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 23.1, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.3, core,0: 10.5, uncore,0: 0, dram,0: 0.4, psys,0: 24.7, 
Frequency: Avg: 3968.8, Core 0: 3992.4, Core 1: 3920.0, Core 2: 3965.5, Core 3: 3997.2, Temp: PackageId0,0: 85.0, Core0,0: 69.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 69.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 15.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.3, core,0: 11.2, uncore,0: 0, dram,0: 0.5, psys,0: 18.7, 
Frequency: Avg: 3977.8, Core 0: 3980.4, Core 1: 3979.5, Core 2: 3996.6, Core 3: 3954.7, Temp: PackageId0,0: 85.0, Core0,0: 69.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 69.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 80.0, Core 3: 0.0, Power: package-0,0: 16.4, core,0: 10.3, uncore,0: 0, dram,0: 0.5, psys,0: 17.8, 
Frequency: Avg: 3986.4, Core 0: 3968.3, Core 1: 3984.4, Core 2: 3998.2, Core 3: 3994.6, Temp: PackageId0,0: 85.0, Core0,0: 69.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 69.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 23.1, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 11.7, core,0: 10.7, uncore,0: 0, dram,0: 0.3, psys,0: 17.2, 
Frequency: Avg: 3964.1, Core 0: 3987.5, Core 1: 3911.9, Core 2: 3976.6, Core 3: 3980.2, Temp: PackageId0,0: 85.0, Core0,0: 69.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 69.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 23.1, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.0, core,0: 11.3, uncore,0: 0, dram,0: 0.3, psys,0: 18.7, 
