Frequency: Avg: 3938.7, Core 0: 3977.1, Core 1: 3914.2, Core 2: 3882.3, Core 3: 3981.0, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 69.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 28.6, Core 0: 80.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.1, core,0: 11.4, uncore,0: 0, dram,0: 0.4, psys,0: 19.4, 
Frequency: Avg: 3987.7, Core 0: 3995.7, Core 1: 3992.8, Core 2: 3995.4, Core 3: 3966.7, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.0, Util: Avg: 26.7, Core 0: 20.0, Core 1: 0.0, Core 2: 100.0, Core 3: 20.0, Power: package-0,0: 18.0, core,0: 12.0, uncore,0: 0, dram,0: 0.5, psys,0: 25.3, 
Frequency: Avg: 3939.9, Core 0: 3903.7, Core 1: 3978.2, Core 2: 3970.6, Core 3: 3906.9, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 23.1, Core 0: 0.0, Core 1: 80.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 15.8, core,0: 10.5, uncore,0: 0, dram,0: 0.4, psys,0: 24.4, 
Frequency: Avg: 3961.0, Core 0: 3973.6, Core 1: 3955.3, Core 2: 3925.3, Core 3: 3989.7, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 31.2, Core 0: 0.0, Core 1: 0.0, Core 2: 25.0, Core 3: 100.0, Power: package-0,0: 19.3, core,0: 11.7, uncore,0: 0, dram,0: 0.5, psys,0: 26.8, 
Frequency: Avg: 3956.7, Core 0: 3988.3, Core 1: 3980.9, Core 2: 3931.8, Core 3: 3925.7, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.0, Util: Avg: 28.6, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.4, core,0: 10.4, uncore,0: 0, dram,0: 0.4, psys,0: 24.7, 
Frequency: Avg: 3957.4, Core 0: 3925.1, Core 1: 3925.1, Core 2: 3997.8, Core 3: 3981.6, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 12.2, core,0: 10.8, uncore,0: 0, dram,0: 0.5, psys,0: 25.3, 
Frequency: Avg: 3962.6, Core 0: 3901.9, Core 1: 3993.6, Core 2: 3960.7, Core 3: 3994.3, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 31.2, Core 0: 0.0, Core 1: 0.0, Core 2: 20.0, Core 3: 100.0, Power: package-0,0: 11.0, core,0: 10.7, uncore,0: 0, dram,0: 0.3, psys,0: 16.2, 
Frequency: Avg: 3966.5, Core 0: 3902.4, Core 1: 3995.4, Core 2: 3996.7, Core 3: 3971.5, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 23.1, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.0, core,0: 10.9, uncore,0: 0, dram,0: 0.5, psys,0: 26.5, 
Frequency: Avg: 3969.5, Core 0: 3989.7, Core 1: 3924.5, Core 2: 3970.3, Core 3: 3993.4, Temp: PackageId0,0: 85.0, Core0,0: 70.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 70.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 12.3, core,0: 10.8, uncore,0: 0, dram,0: 0.5, psys,0: 25.1, 
Frequency: Avg: 3960.4, Core 0: 3937.1, Core 1: 3979.3, Core 2: 3998.0, Core 3: 3927.4, Temp: PackageId0,0: 85.0, Core0,0: 70.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 70.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.0, core,0: 10.5, uncore,0: 0, dram,0: 0.3, psys,0: 16.6, 
Frequency: Avg: 3978.7, Core 0: 3993.1, Core 1: 3950.5, Core 2: 3981.6, Core 3: 3989.7, Temp: PackageId0,0: 85.0, Core0,0: 70.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 70.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.0, Util: Avg: 28.6, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 14.2, core,0: 11.3, uncore,0: 0, dram,0: 0.4, psys,0: 19.9, 
