Frequency: Avg: 3949.4, Core 0: 3906.2, Core 1: 3996.2, Core 2: 3975.7, Core 3: 3919.5, Temp: PackageId0,0: 86.0, Core0,0: 70.0, Core1,0: 86.0, PackageId0,1: 86.0, Core0,1: 70.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 20.0, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.8, core,0: 7.8, uncore,0: 0, dram,0: 0.4, psys,0: 19.7, 
Frequency: Avg: 3962.0, Core 0: 3978.7, Core 1: 3982.6, Core 2: 3979.6, Core 3: 3906.9, Temp: PackageId0,0: 86.0, Core0,0: 70.0, Core1,0: 86.0, PackageId0,1: 86.0, Core0,1: 70.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 23.1, Core 0: 75.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 20.7, core,0: 11.5, uncore,0: 0, dram,0: 0.4, psys,0: 20.3, 
Frequency: Avg: 3982.7, Core 0: 3996.4, Core 1: 3978.2, Core 2: 3993.7, Core 3: 3962.6, Temp: PackageId0,0: 86.0, Core0,0: 70.0, Core1,0: 86.0, PackageId0,1: 86.0, Core0,1: 70.0, Core1,1: 86.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 28.6, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 16.7, core,0: 10.6, uncore,0: 0, dram,0: 0.3, psys,0: 17.3, 
Frequency: Avg: 3956.9, Core 0: 3995.9, Core 1: 3909.3, Core 2: 3971.7, Core 3: 3950.5, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 14.6, core,0: 14.6, uncore,0: 0, dram,0: 0.5, psys,0: 19.3, 
Frequency: Avg: 3961.7, Core 0: 3990.7, Core 1: 3910.6, Core 2: 3950.6, Core 3: 3995.1, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.9, core,0: 10.9, uncore,0: 0, dram,0: 0.5, psys,0: 25.1, 
Frequency: Avg: 3961.2, Core 0: 3998.7, Core 1: 3946.5, Core 2: 3917.0, Core 3: 3982.5, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 20.0, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 17.7, core,0: 10.6, uncore,0: 0, dram,0: 0.5, psys,0: 27.4, 
Frequency: Avg: 3975.0, Core 0: 3997.8, Core 1: 3953.2, Core 2: 3953.4, Core 3: 3995.8, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 23.1, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 17.4, core,0: 10.8, uncore,0: 0, dram,0: 0.5, psys,0: 16.6, 
Frequency: Avg: 3956.1, Core 0: 3998.3, Core 1: 3924.3, Core 2: 3924.1, Core 3: 3977.9, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 25.0, Core 3: 0.0, Power: package-0,0: 12.8, core,0: 11.9, uncore,0: 0, dram,0: 0.3, psys,0: 19.3, 
Frequency: Avg: 3990.6, Core 0: 3997.8, Core 1: 3998.2, Core 2: 3975.7, Core 3: 3990.5, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 33.3, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.6, core,0: 10.3, uncore,0: 0, dram,0: 0.4, psys,0: 24.7, 
Frequency: Avg: 3970.2, Core 0: 3995.7, Core 1: 3988.3, Core 2: 3947.8, Core 3: 3948.9, Temp: PackageId0,0: 86.0, Core0,0: 86.0, Core1,0: 70.0, PackageId0,1: 86.0, Core0,1: 86.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.3, core,0: 10.3, uncore,0: 0, dram,0: 0.5, psys,0: 28.1, 
