Frequency: Avg: 1817.3, Core 0: 1323.8, Core 1: 2630.0, Core 2: 1549.0, Core 3: 1766.4, Temp: PackageId0,0: 56.0, Core0,0: 57.0, Core1,0: 56.0, PackageId0,1: 56.0, Core0,1: 57.0, Core1,1: 56.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 57.0, Util: Avg: 6.4, Core 0: 15.4, Core 1: 25.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 4.1, core,0: 1.6, uncore,0: 0, dram,0: 0.3, psys,0: 19.5, 
Frequency: Avg: 2924.4, Core 0: 3201.1, Core 1: 3391.0, Core 2: 2713.0, Core 3: 2392.3, Temp: PackageId0,0: 56.0, Core0,0: 57.0, Core1,0: 56.0, PackageId0,1: 56.0, Core0,1: 57.0, Core1,1: 56.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 57.0, Util: Avg: 31.2, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 10.8, core,0: 10.5, uncore,0: 0, dram,0: 0.3, psys,0: 27.7, 
Frequency: Avg: 3983.5, Core 0: 3995.9, Core 1: 3998.2, Core 2: 3997.7, Core 3: 3942.3, Temp: PackageId0,0: 56.0, Core0,0: 57.0, Core1,0: 56.0, PackageId0,1: 56.0, Core0,1: 57.0, Core1,1: 56.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 57.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.1, core,0: 9.8, uncore,0: 0, dram,0: 0.3, psys,0: 23.6, 
Frequency: Avg: 3960.4, Core 0: 3936.7, Core 1: 3972.9, Core 2: 3991.8, Core 3: 3940.2, Temp: PackageId0,0: 56.0, Core0,0: 57.0, Core1,0: 56.0, PackageId0,1: 56.0, Core0,1: 57.0, Core1,1: 56.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 57.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 0.0, Power: package-0,0: 10.5, core,0: 9.9, uncore,0: 0, dram,0: 0.6, psys,0: 25.2, 
Frequency: Avg: 3962.9, Core 0: 3998.2, Core 1: 3969.0, Core 2: 3967.4, Core 3: 3917.3, Temp: PackageId0,0: 56.0, Core0,0: 57.0, Core1,0: 56.0, PackageId0,1: 56.0, Core0,1: 57.0, Core1,1: 56.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 57.0, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 15.8, core,0: 10.7, uncore,0: 0, dram,0: 0.4, psys,0: 26.3, 
Frequency: Avg: 3991.0, Core 0: 3995.6, Core 1: 3973.7, Core 2: 3998.2, Core 3: 3996.6, Temp: PackageId0,0: 56.0, Core0,0: 57.0, Core1,0: 56.0, PackageId0,1: 56.0, Core0,1: 57.0, Core1,1: 56.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 57.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 9.6, core,0: 9.4, uncore,0: 0, dram,0: 0.4, psys,0: 24.9, 
Frequency: Avg: 3956.8, Core 0: 3996.4, Core 1: 3909.3, Core 2: 3968.4, Core 3: 3953.0, Temp: PackageId0,0: 56.0, Core0,0: 57.0, Core1,0: 56.0, PackageId0,1: 56.0, Core0,1: 57.0, Core1,1: 56.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 57.0, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 17.6, core,0: 12.4, uncore,0: 2.0, dram,0: 0.9, psys,0: 23.5, 
Frequency: Avg: 3973.3, Core 0: 3995.7, Core 1: 3934.4, Core 2: 3965.7, Core 3: 3997.3, Temp: PackageId0,0: 73.0, Core0,0: 57.0, Core1,0: 73.0, PackageId0,1: 73.0, Core0,1: 57.0, Core1,1: 73.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 57.0, Util: Avg: 25.0, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 80.0, Power: package-0,0: 9.2, core,0: 5.3, uncore,0: 0, dram,0: 0.4, psys,0: 18.5, 
Frequency: Avg: 3959.7, Core 0: 3996.1, Core 1: 3919.9, Core 2: 3950.7, Core 3: 3972.2, Temp: PackageId0,0: 73.0, Core0,0: 57.0, Core1,0: 73.0, PackageId0,1: 73.0, Core0,1: 57.0, Core1,1: 73.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 57.0, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 10.8, core,0: 10.6, uncore,0: 0, dram,0: 0.2, psys,0: 17.9, 
Frequency: Avg: 3971.0, Core 0: 3992.1, Core 1: 3992.9, Core 2: 3927.1, Core 3: 3971.8, Temp: PackageId0,0: 73.0, Core0,0: 57.0, Core1,0: 73.0, PackageId0,1: 73.0, Core0,1: 57.0, Core1,1: 73.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 57.0, Util: Avg: 26.7, Core 0: 25.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.6, core,0: 10.3, uncore,0: 0, dram,0: 0.3, psys,0: 16.8, 
Frequency: Avg: 3934.4, Core 0: 3932.1, Core 1: 3985.0, Core 2: 3907.4, Core 3: 3913.0, Temp: PackageId0,0: 73.0, Core0,0: 57.0, Core1,0: 73.0, PackageId0,1: 73.0, Core0,1: 57.0, Core1,1: 73.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 57.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 10.0, core,0: 9.7, uncore,0: 0, dram,0: 0.5, psys,0: 25.6, 
