Frequency: Avg: 3953.4, Core 0: 3987.6, Core 1: 3929.0, Core 2: 3949.9, Core 3: 3947.1, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 66.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 66.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 64.0, Util: Avg: 28.6, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.9, core,0: 10.4, uncore,0: 0, dram,0: 0.4, psys,0: 19.9, 
Frequency: Avg: 3973.5, Core 0: 3994.7, Core 1: 3957.0, Core 2: 3944.2, Core 3: 3998.0, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 66.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 66.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 64.5, Util: Avg: 31.2, Core 0: 20.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 17.0, core,0: 10.7, uncore,0: 0, dram,0: 0.5, psys,0: 16.6, 
Frequency: Avg: 3955.2, Core 0: 3990.1, Core 1: 3902.9, Core 2: 3940.6, Core 3: 3987.4, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 66.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 66.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 64.0, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.0, core,0: 10.8, uncore,0: 0, dram,0: 0.3, psys,0: 19.2, 
Frequency: Avg: 3961.6, Core 0: 3995.3, Core 1: 3945.5, Core 2: 3911.8, Core 3: 3993.7, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 66.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 66.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 64.0, Util: Avg: 23.1, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 11.9, core,0: 10.8, uncore,0: 0, dram,0: 0.4, psys,0: 25.5, 
Frequency: Avg: 3983.0, Core 0: 3998.5, Core 1: 3958.8, Core 2: 3985.4, Core 3: 3989.1, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 66.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 66.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 64.0, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 17.7, core,0: 10.5, uncore,0: 0, dram,0: 0.5, psys,0: 27.0, 
Frequency: Avg: 3957.2, Core 0: 3998.4, Core 1: 3919.8, Core 2: 3916.0, Core 3: 3994.7, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 66.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 66.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 64.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.2, core,0: 10.7, uncore,0: 0, dram,0: 0.3, psys,0: 16.6, 
Frequency: Avg: 3981.2, Core 0: 3975.9, Core 1: 3998.1, Core 2: 3993.5, Core 3: 3957.4, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 66.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 66.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 64.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 15.9, core,0: 10.8, uncore,0: 0, dram,0: 0.4, psys,0: 24.5, 
Frequency: Avg: 3962.9, Core 0: 3996.2, Core 1: 3977.9, Core 2: 3974.2, Core 3: 3903.5, Temp: PackageId0,0: 82.0, Core0,0: 82.0, Core1,0: 66.0, PackageId0,1: 82.0, Core0,1: 82.0, Core1,1: 66.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 64.0, Util: Avg: 23.1, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 19.3, core,0: 11.3, uncore,0: 0, dram,0: 0.5, psys,0: 28.8, 
Frequency: Avg: 3985.6, Core 0: 3995.7, Core 1: 3993.1, Core 2: 3991.5, Core 3: 3962.3, Temp: PackageId0,0: 82.0, Core0,0: 82.0, Core1,0: 66.0, PackageId0,1: 82.0, Core0,1: 82.0, Core1,1: 66.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 64.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 25.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 20.7, core,0: 13.7, uncore,0: 1.2, dram,0: 0.8, psys,0: 24.9, 
Frequency: Avg: 3976.4, Core 0: 3931.8, Core 1: 3996.5, Core 2: 3997.0, Core 3: 3980.3, Temp: PackageId0,0: 82.0, Core0,0: 82.0, Core1,0: 66.0, PackageId0,1: 82.0, Core0,1: 82.0, Core1,1: 66.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 64.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.8, core,0: 10.6, uncore,0: 0, dram,0: 0.3, psys,0: 16.8, 
Frequency: Avg: 3959.6, Core 0: 3918.1, Core 1: 3934.5, Core 2: 3988.2, Core 3: 3997.5, Temp: PackageId0,0: 82.0, Core0,0: 82.0, Core1,0: 66.0, PackageId0,1: 82.0, Core0,1: 82.0, Core1,1: 66.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 64.5, Util: Avg: 25.0, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 15.9, core,0: 10.3, uncore,0: 0, dram,0: 0.4, psys,0: 15.7, 
