Frequency: Avg: 3973.0, Core 0: 3994.3, Core 1: 3962.8, Core 2: 3982.2, Core 3: 3952.8, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.8, core,0: 11.1, uncore,0: 0, dram,0: 0.4, psys,0: 20.1, 
Frequency: Avg: 3988.6, Core 0: 3998.4, Core 1: 3986.8, Core 2: 3981.7, Core 3: 3987.6, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.3, core,0: 10.6, uncore,0: 0, dram,0: 0.5, psys,0: 25.2, 
Frequency: Avg: 3969.9, Core 0: 3996.2, Core 1: 3979.7, Core 2: 3953.6, Core 3: 3950.0, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 19.7, core,0: 11.5, uncore,0: 0, dram,0: 0.4, psys,0: 19.7, 
Frequency: Avg: 3969.4, Core 0: 3995.5, Core 1: 3978.6, Core 2: 3998.0, Core 3: 3905.5, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 23.1, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 0.0, Power: package-0,0: 17.5, core,0: 11.9, uncore,0: 0, dram,0: 0.5, psys,0: 26.4, 
Frequency: Avg: 3978.7, Core 0: 3993.7, Core 1: 3971.9, Core 2: 3978.5, Core 3: 3970.7, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 35.3, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 20.0, Power: package-0,0: 19.0, core,0: 11.3, uncore,0: 0, dram,0: 0.4, psys,0: 19.5, 
Frequency: Avg: 3968.8, Core 0: 3994.0, Core 1: 3909.8, Core 2: 3984.3, Core 3: 3987.2, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 15.9, core,0: 10.3, uncore,0: 0, dram,0: 0.5, psys,0: 25.1, 
Frequency: Avg: 3971.6, Core 0: 3962.7, Core 1: 3949.2, Core 2: 3996.2, Core 3: 3978.6, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 28.6, Core 0: 25.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 30.6, core,0: 16.3, uncore,0: 3.7, dram,0: 1.7, psys,0: 22.9, 
Frequency: Avg: 3973.7, Core 0: 3941.0, Core 1: 3995.2, Core 2: 3991.6, Core 3: 3967.2, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 33.3, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.4, core,0: 10.3, uncore,0: 0, dram,0: 0.5, psys,0: 24.9, 
Frequency: Avg: 3978.7, Core 0: 3993.9, Core 1: 3984.6, Core 2: 3961.7, Core 3: 3974.7, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 71.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 71.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 25.0, Core 0: 0.0, Core 1: 80.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 10.7, core,0: 6.2, uncore,0: 0, dram,0: 0.4, psys,0: 21.3, 
Frequency: Avg: 3958.2, Core 0: 3937.0, Core 1: 3973.6, Core 2: 3926.6, Core 3: 3995.6, Temp: PackageId0,0: 88.0, Core0,0: 70.0, Core1,0: 88.0, PackageId0,1: 88.0, Core0,1: 70.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 18.3, core,0: 11.2, uncore,0: 0, dram,0: 0.5, psys,0: 25.0, 
Frequency: Avg: 3968.9, Core 0: 3989.6, Core 1: 3995.4, Core 2: 3919.7, Core 3: 3971.1, Temp: PackageId0,0: 88.0, Core0,0: 70.0, Core1,0: 88.0, PackageId0,1: 88.0, Core0,1: 70.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.8, core,0: 10.9, uncore,0: 0, dram,0: 0.5, psys,0: 25.4, 
Frequency: Avg: 3956.8, Core 0: 3994.1, Core 1: 3972.1, Core 2: 3957.1, Core 3: 3904.0, Temp: PackageId0,0: 88.0, Core0,0: 70.0, Core1,0: 88.0, PackageId0,1: 88.0, Core0,1: 70.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 23.5, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 20.0, Power: package-0,0: 9.5, core,0: 4.7, uncore,0: 0, dram,0: 0.4, psys,0: 20.6, 
Frequency: Avg: 3988.5, Core 0: 3994.4, Core 1: 3994.5, Core 2: 3969.2, Core 3: 3995.9, Temp: PackageId0,0: 88.0, Core0,0: 70.0, Core1,0: 88.0, PackageId0,1: 88.0, Core0,1: 70.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.2, core,0: 11.2, uncore,0: 0, dram,0: 0.3, psys,0: 16.6, 
Frequency: Avg: 3952.7, Core 0: 3911.5, Core 1: 3992.4, Core 2: 3922.6, Core 3: 3984.4, Temp: PackageId0,0: 88.0, Core0,0: 70.0, Core1,0: 88.0, PackageId0,1: 88.0, Core0,1: 70.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 28.6, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.7, core,0: 12.0, uncore,0: 0, dram,0: 0.3, psys,0: 18.5, 
Frequency: Avg: 3961.9, Core 0: 3985.0, Core 1: 3915.3, Core 2: 3955.7, Core 3: 3991.5, Temp: PackageId0,0: 88.0, Core0,0: 70.0, Core1,0: 88.0, PackageId0,1: 88.0, Core0,1: 70.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 23.1, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 14.6, core,0: 11.4, uncore,0: 0, dram,0: 0.4, psys,0: 19.5, 
Frequency: Avg: 3966.3, Core 0: 3995.4, Core 1: 3952.8, Core 2: 3922.9, Core 3: 3994.0, Temp: PackageId0,0: 88.0, Core0,0: 70.0, Core1,0: 88.0, PackageId0,1: 88.0, Core0,1: 70.0, Core1,1: 88.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 70.0, Util: Avg: 28.6, Core 0: 0.0, Core 1: 0.0, Core 2: 25.0, Core 3: 100.0, Power: package-0,0: 11.6, core,0: 10.8, uncore,0: 0, dram,0: 0.5, psys,0: 25.4, 
Frequency: Avg: 3973.0, Core 0: 3991.7, Core 1: 3942.6, Core 2: 3974.1, Core 3: 3983.5, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.0, core,0: 10.8, uncore,0: 0, dram,0: 0.3, psys,0: 19.1, 
Frequency: Avg: 3957.8, Core 0: 3997.6, Core 1: 3917.0, Core 2: 3922.4, Core 3: 3994.2, Temp: PackageId0,0: 87.0, Core0,0: 87.0, Core1,0: 70.0, PackageId0,1: 87.0, Core0,1: 87.0, Core1,1: 70.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 69.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 11.5, core,0: 10.9, uncore,0: 0, dram,0: 0.4, psys,0: 24.8, 
