Frequency: Avg: 3955.8, Core 0: 3979.7, Core 1: 3918.5, Core 2: 3969.3, Core 3: 3955.5, Temp: PackageId0,0: 70.0, Core0,0: 70.0, Core1,0: 53.0, PackageId0,1: 70.0, Core0,1: 70.0, Core1,1: 53.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 53.0, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.3, core,0: 10.4, uncore,0: 0, dram,0: 0.3, psys,0: 20.1, 
Frequency: Avg: 3992.1, Core 0: 3997.1, Core 1: 3998.3, Core 2: 3998.8, Core 3: 3974.4, Temp: PackageId0,0: 70.0, Core0,0: 70.0, Core1,0: 53.0, PackageId0,1: 70.0, Core0,1: 70.0, Core1,1: 53.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 53.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 9.0, core,0: 9.5, uncore,0: 0, dram,0: 0.3, psys,0: 23.9, 
Frequency: Avg: 3976.3, Core 0: 3928.4, Core 1: 3984.2, Core 2: 3997.5, Core 3: 3995.1, Temp: PackageId0,0: 70.0, Core0,0: 70.0, Core1,0: 53.0, PackageId0,1: 70.0, Core0,1: 70.0, Core1,1: 53.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 53.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 14.1, core,0: 9.6, uncore,0: 0, dram,0: 0.3, psys,0: 24.1, 
Frequency: Avg: 3974.5, Core 0: 3998.4, Core 1: 3922.9, Core 2: 3981.8, Core 3: 3995.0, Temp: PackageId0,0: 70.0, Core0,0: 70.0, Core1,0: 53.0, PackageId0,1: 70.0, Core0,1: 70.0, Core1,1: 53.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 53.0, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.1, core,0: 10.2, uncore,0: 0, dram,0: 0.3, psys,0: 19.2, 
Frequency: Avg: 3973.6, Core 0: 3995.5, Core 1: 3903.8, Core 2: 3998.0, Core 3: 3997.1, Temp: PackageId0,0: 70.0, Core0,0: 70.0, Core1,0: 53.0, PackageId0,1: 70.0, Core0,1: 70.0, Core1,1: 53.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 53.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 10.4, core,0: 10.8, uncore,0: 0, dram,0: 0.4, psys,0: 26.0, 
Frequency: Avg: 3944.1, Core 0: 3910.5, Core 1: 3927.6, Core 2: 3994.6, Core 3: 3943.7, Temp: PackageId0,0: 70.0, Core0,0: 70.0, Core1,0: 53.0, PackageId0,1: 70.0, Core0,1: 70.0, Core1,1: 53.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 53.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 8.8, core,0: 9.2, uncore,0: 0, dram,0: 0.3, psys,0: 23.7, 
Frequency: Avg: 3956.9, Core 0: 3996.7, Core 1: 3908.9, Core 2: 3969.3, Core 3: 3952.7, Temp: PackageId0,0: 70.0, Core0,0: 70.0, Core1,0: 53.0, PackageId0,1: 70.0, Core0,1: 70.0, Core1,1: 53.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 53.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.3, core,0: 10.7, uncore,0: 0, dram,0: 0.3, psys,0: 28.4, 
Frequency: Avg: 3978.8, Core 0: 3997.8, Core 1: 3998.5, Core 2: 3946.5, Core 3: 3972.4, Temp: PackageId0,0: 70.0, Core0,0: 70.0, Core1,0: 53.0, PackageId0,1: 70.0, Core0,1: 70.0, Core1,1: 53.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 53.5, Util: Avg: 15.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.6, core,0: 9.7, uncore,0: 0, dram,0: 0.3, psys,0: 23.0, 
Frequency: Avg: 3972.3, Core 0: 3980.2, Core 1: 3978.4, Core 2: 3998.5, Core 3: 3932.2, Temp: PackageId0,0: 70.0, Core0,0: 70.0, Core1,0: 53.0, PackageId0,1: 70.0, Core0,1: 70.0, Core1,1: 53.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 53.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 13.1, core,0: 9.5, uncore,0: 0, dram,0: 0.3, psys,0: 24.4, 
Frequency: Avg: 3956.1, Core 0: 3998.6, Core 1: 3904.8, Core 2: 3964.9, Core 3: 3956.3, Temp: PackageId0,0: 70.0, Core0,0: 70.0, Core1,0: 53.0, PackageId0,1: 70.0, Core0,1: 70.0, Core1,1: 53.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 53.5, Util: Avg: 31.2, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.2, core,0: 10.6, uncore,0: 0, dram,0: 0.3, psys,0: 19.0, 
Frequency: Avg: 3988.4, Core 0: 3996.6, Core 1: 3961.3, Core 2: 3997.6, Core 3: 3998.0, Temp: PackageId0,0: 70.0, Core0,0: 70.0, Core1,0: 53.0, PackageId0,1: 70.0, Core0,1: 70.0, Core1,1: 53.0, Iwlwifi,0: 53.0, Pch_Skylake,0: 53.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 9.4, core,0: 9.3, uncore,0: 0, dram,0: 0.3, psys,0: 23.6, 
