Frequency: Avg: 3981.1, Core 0: 3970.5, Core 1: 3976.6, Core 2: 3995.6, Core 3: 3981.6, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 73.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 73.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 17.7, core,0: 10.6, uncore,0: 0, dram,0: 0.5, psys,0: 24.6, 
Frequency: Avg: 3954.5, Core 0: 3934.0, Core 1: 3930.3, Core 2: 3971.4, Core 3: 3982.1, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 73.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 73.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 33.3, Core 0: 0.0, Core 1: 25.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 11.7, core,0: 11.3, uncore,0: 0, dram,0: 0.3, psys,0: 25.7, 
Frequency: Avg: 3960.3, Core 0: 3952.4, Core 1: 3907.5, Core 2: 3996.1, Core 3: 3985.3, Temp: PackageId0,0: 90.0, Core0,0: 90.0, Core1,0: 73.0, PackageId0,1: 90.0, Core0,1: 90.0, Core1,1: 73.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 12.4, core,0: 11.1, uncore,0: 0, dram,0: 0.5, psys,0: 25.2, 
Frequency: Avg: 3943.4, Core 0: 3904.0, Core 1: 3980.2, Core 2: 3970.4, Core 3: 3919.2, Temp: PackageId0,0: 90.0, Core0,0: 73.0, Core1,0: 90.0, PackageId0,1: 90.0, Core0,1: 73.0, Core1,1: 90.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.6, core,0: 10.7, uncore,0: 0, dram,0: 0.5, psys,0: 15.9, 
Frequency: Avg: 3967.1, Core 0: 3967.1, Core 1: 3978.0, Core 2: 3996.4, Core 3: 3926.9, Temp: PackageId0,0: 90.0, Core0,0: 73.0, Core1,0: 90.0, PackageId0,1: 90.0, Core0,1: 73.0, Core1,1: 90.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 23.1, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 16.2, core,0: 10.7, uncore,0: 0, dram,0: 0.3, psys,0: 16.8, 
Frequency: Avg: 3981.4, Core 0: 3997.2, Core 1: 3981.0, Core 2: 3981.2, Core 3: 3966.3, Temp: PackageId0,0: 90.0, Core0,0: 73.0, Core1,0: 90.0, PackageId0,1: 90.0, Core0,1: 73.0, Core1,1: 90.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 14.2, core,0: 11.1, uncore,0: 0, dram,0: 0.4, psys,0: 19.9, 
Frequency: Avg: 3983.0, Core 0: 3995.3, Core 1: 3956.5, Core 2: 3981.9, Core 3: 3998.3, Temp: PackageId0,0: 90.0, Core0,0: 73.0, Core1,0: 90.0, PackageId0,1: 90.0, Core0,1: 73.0, Core1,1: 90.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.0, core,0: 11.1, uncore,0: 0, dram,0: 0.3, psys,0: 16.5, 
Frequency: Avg: 3968.5, Core 0: 3997.8, Core 1: 3996.4, Core 2: 3903.4, Core 3: 3976.4, Temp: PackageId0,0: 90.0, Core0,0: 73.0, Core1,0: 90.0, PackageId0,1: 90.0, Core0,1: 73.0, Core1,1: 90.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.6, core,0: 11.0, uncore,0: 0, dram,0: 0.3, psys,0: 16.6, 
Frequency: Avg: 3967.8, Core 0: 3978.0, Core 1: 3974.8, Core 2: 3993.8, Core 3: 3924.7, Temp: PackageId0,0: 90.0, Core0,0: 73.0, Core1,0: 90.0, PackageId0,1: 90.0, Core0,1: 73.0, Core1,1: 90.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 31.2, Core 0: 0.0, Core 1: 25.0, Core 2: 80.0, Core 3: 0.0, Power: package-0,0: 12.7, core,0: 11.9, uncore,0: 0, dram,0: 0.3, psys,0: 18.2, 
Frequency: Avg: 3975.9, Core 0: 3994.8, Core 1: 3937.5, Core 2: 3980.6, Core 3: 3990.7, Temp: PackageId0,0: 90.0, Core0,0: 73.0, Core1,0: 90.0, PackageId0,1: 90.0, Core0,1: 73.0, Core1,1: 90.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.5, Util: Avg: 35.3, Core 0: 100.0, Core 1: 0.0, Core 2: 20.0, Core 3: 0.0, Power: package-0,0: 13.8, core,0: 11.2, uncore,0: 0, dram,0: 0.6, psys,0: 27.8, 
Frequency: Avg: 3985.0, Core 0: 3988.3, Core 1: 3996.9, Core 2: 3993.4, Core 3: 3961.3, Temp: PackageId0,0: 90.0, Core0,0: 73.0, Core1,0: 90.0, PackageId0,1: 90.0, Core0,1: 73.0, Core1,1: 90.0, Iwlwifi,0: 59.0, Pch_Skylake,0: 72.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 17.8, core,0: 10.8, uncore,0: 0, dram,0: 0.5, psys,0: 24.8, 
