Frequency: Avg: 3961.7, Core 0: 3985.6, Core 1: 3927.3, Core 2: 3942.4, Core 3: 3991.6, Temp: PackageId0,0: 85.0, Core0,0: 68.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 68.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 28.6, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.9, core,0: 10.7, uncore,0: 0, dram,0: 0.3, psys,0: 16.9, 
Frequency: Avg: 3977.8, Core 0: 3998.7, Core 1: 3947.5, Core 2: 3985.4, Core 3: 3979.4, Temp: PackageId0,0: 85.0, Core0,0: 68.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 68.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.5, core,0: 11.0, uncore,0: 0, dram,0: 0.3, psys,0: 18.2, 
Frequency: Avg: 3987.7, Core 0: 3998.2, Core 1: 3998.2, Core 2: 3973.2, Core 3: 3981.1, Temp: PackageId0,0: 85.0, Core0,0: 68.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 68.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.8, core,0: 11.4, uncore,0: 0, dram,0: 0.3, psys,0: 18.3, 
Frequency: Avg: 3968.0, Core 0: 3976.3, Core 1: 3957.1, Core 2: 3972.0, Core 3: 3966.4, Temp: PackageId0,0: 85.0, Core0,0: 68.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 68.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 11.7, core,0: 10.9, uncore,0: 0, dram,0: 0.3, psys,0: 17.2, 
Frequency: Avg: 3954.5, Core 0: 3918.3, Core 1: 3993.9, Core 2: 3986.6, Core 3: 3919.4, Temp: PackageId0,0: 85.0, Core0,0: 68.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 68.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 23.5, Core 0: 0.0, Core 1: 75.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 8.6, core,0: 4.8, uncore,0: 0, dram,0: 0.4, psys,0: 20.4, 
Frequency: Avg: 3988.0, Core 0: 3989.9, Core 1: 3995.6, Core 2: 3973.0, Core 3: 3993.6, Temp: PackageId0,0: 85.0, Core0,0: 68.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 68.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 11.5, core,0: 10.7, uncore,0: 0, dram,0: 0.3, psys,0: 17.2, 
Frequency: Avg: 3959.6, Core 0: 3939.4, Core 1: 3996.6, Core 2: 3975.9, Core 3: 3926.6, Temp: PackageId0,0: 85.0, Core0,0: 68.0, Core1,0: 85.0, PackageId0,1: 85.0, Core0,1: 68.0, Core1,1: 85.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 23.1, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 16.6, core,0: 10.5, uncore,0: 0, dram,0: 0.4, psys,0: 24.7, 
Frequency: Avg: 3975.0, Core 0: 3993.7, Core 1: 3990.1, Core 2: 3980.6, Core 3: 3935.5, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 68.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 19.0, core,0: 11.5, uncore,0: 0, dram,0: 0.5, psys,0: 18.9, 
Frequency: Avg: 3983.1, Core 0: 3987.4, Core 1: 3996.2, Core 2: 3997.6, Core 3: 3951.5, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 68.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 15.9, core,0: 10.5, uncore,0: 0, dram,0: 0.5, psys,0: 16.7, 
Frequency: Avg: 3976.8, Core 0: 3993.2, Core 1: 3949.0, Core 2: 3967.9, Core 3: 3997.2, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 68.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 20.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 17.6, core,0: 10.8, uncore,0: 0, dram,0: 0.5, psys,0: 25.1, 
Frequency: Avg: 3966.6, Core 0: 3992.8, Core 1: 3995.9, Core 2: 3952.3, Core 3: 3925.3, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 68.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 68.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 67.0, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.2, core,0: 11.3, uncore,0: 0, dram,0: 0.4, psys,0: 19.5, 
