Frequency: Avg: 3964.9, Core 0: 3972.3, Core 1: 3989.7, Core 2: 3903.9, Core 3: 3993.7, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 67.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 67.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.5, Util: Avg: 28.6, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 12.4, core,0: 10.7, uncore,0: 0, dram,0: 0.5, psys,0: 25.3, 
Frequency: Avg: 3966.4, Core 0: 3931.4, Core 1: 3997.8, Core 2: 3993.0, Core 3: 3943.2, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 67.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 67.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 16.4, core,0: 10.6, uncore,0: 0, dram,0: 0.5, psys,0: 25.0, 
Frequency: Avg: 3972.5, Core 0: 3994.4, Core 1: 3928.5, Core 2: 3971.4, Core 3: 3995.7, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 67.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 67.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.5, Util: Avg: 28.6, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 14.0, core,0: 11.5, uncore,0: 0, dram,0: 0.4, psys,0: 19.1, 
Frequency: Avg: 3963.5, Core 0: 3994.2, Core 1: 3928.2, Core 2: 3960.7, Core 3: 3970.9, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 67.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 67.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.5, Util: Avg: 23.1, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.9, core,0: 10.8, uncore,0: 0, dram,0: 0.5, psys,0: 28.7, 
Frequency: Avg: 3980.0, Core 0: 3988.2, Core 1: 3954.7, Core 2: 3998.7, Core 3: 3978.6, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 67.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 67.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.5, Util: Avg: 33.3, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 10.3, core,0: 10.3, uncore,0: 0, dram,0: 0.3, psys,0: 24.8, 
Frequency: Avg: 3971.0, Core 0: 3927.4, Core 1: 3996.4, Core 2: 3997.1, Core 3: 3963.2, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 67.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 67.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.8, core,0: 10.4, uncore,0: 0, dram,0: 0.5, psys,0: 25.4, 
Frequency: Avg: 3967.1, Core 0: 3984.8, Core 1: 3932.1, Core 2: 3961.7, Core 3: 3989.9, Temp: PackageId0,0: 83.0, Core0,0: 67.0, Core1,0: 83.0, PackageId0,1: 83.0, Core0,1: 67.0, Core1,1: 83.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.5, core,0: 17.2, uncore,0: 0, dram,0: 0.9, psys,0: 28.3, 
Frequency: Avg: 3958.2, Core 0: 3976.8, Core 1: 3927.3, Core 2: 3954.3, Core 3: 3974.3, Temp: PackageId0,0: 83.0, Core0,0: 67.0, Core1,0: 83.0, PackageId0,1: 83.0, Core0,1: 67.0, Core1,1: 83.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.5, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.4, core,0: 8.5, uncore,0: 0, dram,0: 0.4, psys,0: 19.8, 
Frequency: Avg: 3971.6, Core 0: 3988.1, Core 1: 3906.1, Core 2: 3998.4, Core 3: 3993.8, Temp: PackageId0,0: 83.0, Core0,0: 67.0, Core1,0: 83.0, PackageId0,1: 83.0, Core0,1: 67.0, Core1,1: 83.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.5, Util: Avg: 31.2, Core 0: 0.0, Core 1: 0.0, Core 2: 80.0, Core 3: 0.0, Power: package-0,0: 16.7, core,0: 9.9, uncore,0: 0, dram,0: 0.5, psys,0: 25.0, 
Frequency: Avg: 3968.3, Core 0: 3995.8, Core 1: 3906.3, Core 2: 3986.1, Core 3: 3985.0, Temp: PackageId0,0: 83.0, Core0,0: 67.0, Core1,0: 83.0, PackageId0,1: 83.0, Core0,1: 67.0, Core1,1: 83.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.5, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.6, core,0: 11.4, uncore,0: 0, dram,0: 0.3, psys,0: 18.6, 
Frequency: Avg: 3973.1, Core 0: 3995.5, Core 1: 3951.9, Core 2: 3946.6, Core 3: 3998.2, Temp: PackageId0,0: 83.0, Core0,0: 67.0, Core1,0: 83.0, PackageId0,1: 83.0, Core0,1: 67.0, Core1,1: 83.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.0, core,0: 10.7, uncore,0: 0, dram,0: 0.3, psys,0: 16.4, 
