Frequency: Avg: 3962.1, Core 0: 3984.1, Core 1: 3934.3, Core 2: 3939.6, Core 3: 3990.5, Temp: PackageId0,0: 80.0, Core0,0: 65.0, Core1,0: 81.0, PackageId0,1: 80.0, Core0,1: 65.0, Core1,1: 81.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 63.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 16.6, core,0: 10.6, uncore,0: 0, dram,0: 0.5, psys,0: 25.0, 
Frequency: Avg: 3976.9, Core 0: 3995.9, Core 1: 3997.4, Core 2: 3950.6, Core 3: 3963.7, Temp: PackageId0,0: 80.0, Core0,0: 65.0, Core1,0: 81.0, PackageId0,1: 80.0, Core0,1: 65.0, Core1,1: 81.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 63.5, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.7, core,0: 10.9, uncore,0: 0, dram,0: 0.5, psys,0: 28.5, 
Frequency: Avg: 3973.8, Core 0: 3995.4, Core 1: 3997.1, Core 2: 3905.8, Core 3: 3997.0, Temp: PackageId0,0: 80.0, Core0,0: 65.0, Core1,0: 81.0, PackageId0,1: 80.0, Core0,1: 65.0, Core1,1: 81.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 63.5, Util: Avg: 18.8, Core 0: 0.0, Core 1: 80.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 8.6, core,0: 4.4, uncore,0: 0, dram,0: 0.4, psys,0: 19.8, 
Frequency: Avg: 3974.2, Core 0: 3927.0, Core 1: 3983.7, Core 2: 3990.2, Core 3: 3995.8, Temp: PackageId0,0: 80.0, Core0,0: 65.0, Core1,0: 81.0, PackageId0,1: 80.0, Core0,1: 65.0, Core1,1: 81.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 63.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 11.0, core,0: 10.7, uncore,0: 0, dram,0: 0.4, psys,0: 25.2, 
Frequency: Avg: 3967.4, Core 0: 3953.0, Core 1: 3936.3, Core 2: 3996.6, Core 3: 3983.6, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 66.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 66.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 63.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 75.0, Core 3: 0.0, Power: package-0,0: 19.9, core,0: 11.0, uncore,0: 0, dram,0: 0.4, psys,0: 20.6, 
Frequency: Avg: 3973.9, Core 0: 3995.7, Core 1: 3941.0, Core 2: 3974.3, Core 3: 3984.8, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 66.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 66.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 63.5, Util: Avg: 31.2, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.1, core,0: 11.1, uncore,0: 0, dram,0: 0.4, psys,0: 19.6, 
Frequency: Avg: 3971.5, Core 0: 3981.6, Core 1: 3935.4, Core 2: 3978.2, Core 3: 3990.8, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 66.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 66.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 63.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 16.2, core,0: 10.3, uncore,0: 0, dram,0: 0.3, psys,0: 16.6, 
Frequency: Avg: 3955.6, Core 0: 3994.1, Core 1: 3903.1, Core 2: 3968.4, Core 3: 3956.8, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 66.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 66.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 63.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.1, core,0: 11.0, uncore,0: 0, dram,0: 0.5, psys,0: 28.4, 
Frequency: Avg: 3975.1, Core 0: 3994.3, Core 1: 3953.7, Core 2: 3954.5, Core 3: 3998.1, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 66.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 66.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 63.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 18.1, core,0: 11.0, uncore,0: 0, dram,0: 0.3, psys,0: 17.3, 
Frequency: Avg: 3976.3, Core 0: 3994.7, Core 1: 3937.7, Core 2: 3974.6, Core 3: 3998.2, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 66.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 66.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 63.5, Util: Avg: 23.1, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 11.2, core,0: 10.4, uncore,0: 0, dram,0: 0.3, psys,0: 17.7, 
Frequency: Avg: 3986.5, Core 0: 3998.2, Core 1: 3981.0, Core 2: 3987.7, Core 3: 3978.9, Temp: PackageId0,0: 81.0, Core0,0: 81.0, Core1,0: 66.0, PackageId0,1: 81.0, Core0,1: 81.0, Core1,1: 66.0, Iwlwifi,0: 55.0, Pch_Skylake,0: 63.5, Util: Avg: 26.7, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 19.7, core,0: 11.1, uncore,0: 0, dram,0: 0.5, psys,0: 28.5, 
