Frequency: Avg: 3952.0, Core 0: 3928.4, Core 1: 3918.1, Core 2: 3993.8, Core 3: 3967.9, Temp: PackageId0,0: 82.0, Core0,0: 82.0, Core1,0: 66.0, PackageId0,1: 82.0, Core0,1: 82.0, Core1,1: 66.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 17.8, core,0: 10.7, uncore,0: 0, dram,0: 0.5, psys,0: 26.2, 
Frequency: Avg: 3953.0, Core 0: 3907.8, Core 1: 3997.6, Core 2: 3980.6, Core 3: 3926.1, Temp: PackageId0,0: 82.0, Core0,0: 82.0, Core1,0: 66.0, PackageId0,1: 82.0, Core0,1: 82.0, Core1,1: 66.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 31.2, Core 0: 0.0, Core 1: 75.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 11.3, core,0: 10.1, uncore,0: 0, dram,0: 0.4, psys,0: 24.8, 
Frequency: Avg: 3965.0, Core 0: 3996.9, Core 1: 3980.0, Core 2: 3978.9, Core 3: 3904.2, Temp: PackageId0,0: 82.0, Core0,0: 82.0, Core1,0: 66.0, PackageId0,1: 82.0, Core0,1: 82.0, Core1,1: 66.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.7, core,0: 10.6, uncore,0: 0, dram,0: 0.4, psys,0: 19.0, 
Frequency: Avg: 3974.9, Core 0: 3992.5, Core 1: 3977.4, Core 2: 3935.9, Core 3: 3993.7, Temp: PackageId0,0: 83.0, Core0,0: 67.0, Core1,0: 82.0, PackageId0,1: 83.0, Core0,1: 67.0, Core1,1: 82.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 75.0, Power: package-0,0: 16.6, core,0: 10.7, uncore,0: 0, dram,0: 0.5, psys,0: 16.8, 
Frequency: Avg: 3952.3, Core 0: 3916.4, Core 1: 3995.4, Core 2: 3918.0, Core 3: 3979.3, Temp: PackageId0,0: 83.0, Core0,0: 67.0, Core1,0: 82.0, PackageId0,1: 83.0, Core0,1: 67.0, Core1,1: 82.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 15.5, core,0: 10.0, uncore,0: 0, dram,0: 0.3, psys,0: 16.6, 
Frequency: Avg: 3958.6, Core 0: 3954.1, Core 1: 3977.0, Core 2: 3998.2, Core 3: 3905.1, Temp: PackageId0,0: 83.0, Core0,0: 67.0, Core1,0: 82.0, PackageId0,1: 83.0, Core0,1: 67.0, Core1,1: 82.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 23.5, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 9.3, core,0: 4.1, uncore,0: 0, dram,0: 0.4, psys,0: 20.5, 
Frequency: Avg: 3988.9, Core 0: 3975.4, Core 1: 3984.4, Core 2: 3997.8, Core 3: 3998.2, Temp: PackageId0,0: 83.0, Core0,0: 67.0, Core1,0: 82.0, PackageId0,1: 83.0, Core0,1: 67.0, Core1,1: 82.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 17.4, core,0: 11.9, uncore,0: 0, dram,0: 0.3, psys,0: 17.5, 
Frequency: Avg: 3991.2, Core 0: 3998.3, Core 1: 3986.8, Core 2: 3985.5, Core 3: 3994.2, Temp: PackageId0,0: 83.0, Core0,0: 67.0, Core1,0: 82.0, PackageId0,1: 83.0, Core0,1: 67.0, Core1,1: 82.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.8, core,0: 11.2, uncore,0: 0, dram,0: 0.4, psys,0: 19.5, 
Frequency: Avg: 3962.7, Core 0: 3978.2, Core 1: 3901.0, Core 2: 3987.0, Core 3: 3984.5, Temp: PackageId0,0: 83.0, Core0,0: 67.0, Core1,0: 82.0, PackageId0,1: 83.0, Core0,1: 67.0, Core1,1: 82.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 33.3, Core 0: 25.0, Core 1: 0.0, Core 2: 80.0, Core 3: 40.0, Power: package-0,0: 14.2, core,0: 11.8, uncore,0: 0, dram,0: 0.3, psys,0: 18.8, 
Frequency: Avg: 3959.6, Core 0: 3996.1, Core 1: 3997.3, Core 2: 3926.0, Core 3: 3919.1, Temp: PackageId0,0: 83.0, Core0,0: 67.0, Core1,0: 82.0, PackageId0,1: 83.0, Core0,1: 67.0, Core1,1: 82.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 23.1, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 19.1, core,0: 11.0, uncore,0: 0, dram,0: 0.5, psys,0: 28.7, 
Frequency: Avg: 3980.0, Core 0: 3994.3, Core 1: 3961.2, Core 2: 3992.7, Core 3: 3971.8, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 67.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 67.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 25.0, Power: package-0,0: 19.1, core,0: 11.3, uncore,0: 0, dram,0: 0.6, psys,0: 26.5, 
Frequency: Avg: 3949.1, Core 0: 3911.3, Core 1: 3987.8, Core 2: 3977.8, Core 3: 3919.6, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 67.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 67.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 26.7, Core 0: 0.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 19.5, core,0: 12.2, uncore,0: 0, dram,0: 0.5, psys,0: 28.9, 
Frequency: Avg: 3978.3, Core 0: 3981.3, Core 1: 3973.0, Core 2: 3981.6, Core 3: 3977.2, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 67.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 67.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 31.2, Core 0: 0.0, Core 1: 0.0, Core 2: 66.7, Core 3: 20.0, Power: package-0,0: 16.2, core,0: 10.2, uncore,0: 0, dram,0: 0.4, psys,0: 16.0, 
Frequency: Avg: 3954.7, Core 0: 3995.8, Core 1: 3901.3, Core 2: 3967.2, Core 3: 3954.6, Temp: PackageId0,0: 83.0, Core0,0: 83.0, Core1,0: 67.0, PackageId0,1: 83.0, Core0,1: 83.0, Core1,1: 67.0, Iwlwifi,0: 56.0, Pch_Skylake,0: 65.0, Util: Avg: 21.4, Core 0: 100.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.0, core,0: 10.8, uncore,0: 0, dram,0: 0.5, psys,0: 29.7, 
