RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36.5C BCPU@37C thermal@36.9C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2502 VDD_SYS_CPU 229/215 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36.5C BCPU@37C thermal@36.9C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2502 VDD_SYS_CPU 229/216 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36.5C BCPU@37C thermal@36.8C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2501 VDD_SYS_CPU 229/216 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36C BCPU@37C thermal@36.8C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2501 VDD_SYS_CPU 229/217 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36.5C BCPU@37C thermal@36.8C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2501 VDD_SYS_CPU 153/214 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36C BCPU@37C thermal@36.8C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2500 VDD_SYS_CPU 153/212 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36C BCPU@37C thermal@36.8C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2500 VDD_SYS_CPU 229/213 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36.5C BCPU@37C thermal@36.8C Tdiode@35.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2500 VDD_SYS_CPU 153/211 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [14%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36.5C BCPU@37C thermal@36.8C Tdiode@35.5C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2499 VDD_SYS_CPU 153/209 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@36.8C Tdiode@35.5C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2499 VDD_SYS_CPU 153/207 VDD_SYS_DDR 706/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@36.8C Tdiode@35.5C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2499 VDD_SYS_CPU 153/205 VDD_SYS_DDR 687/705
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36.5C BCPU@37C thermal@36.8C Tdiode@35.5C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2491/2499 VDD_SYS_CPU 229/206 VDD_SYS_DDR 706/705
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36.5C BCPU@37C thermal@36.8C Tdiode@36C VDD_SYS_GPU 459/161 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2797/2507 VDD_SYS_CPU 229/207 VDD_SYS_DDR 706/705
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@37.5C BCPU@37C thermal@36.8C Tdiode@36C VDD_SYS_GPU 689/176 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3065/2523 VDD_SYS_CPU 229/207 VDD_SYS_DDR 706/705
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 98% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@37.5C BCPU@37.5C thermal@36.8C Tdiode@36C VDD_SYS_GPU 919/196 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3295/2543 VDD_SYS_CPU 229/208 VDD_SYS_DDR 706/705
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 98% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@37.5C BCPU@37.5C thermal@36.8C Tdiode@36C VDD_SYS_GPU 1149/221 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3525/2569 VDD_SYS_CPU 153/207 VDD_SYS_DDR 725/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 98% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@37.5C BCPU@37.5C thermal@36.8C Tdiode@37.25C VDD_SYS_GPU 1302/249 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3717/2599 VDD_SYS_CPU 153/205 VDD_SYS_DDR 725/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@38C BCPU@37.5C thermal@36.8C Tdiode@37.25C VDD_SYS_GPU 1455/279 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3870/2630 VDD_SYS_CPU 229/206 VDD_SYS_DDR 725/706
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 98% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@38C BCPU@37C thermal@36.8C Tdiode@37.25C VDD_SYS_GPU 1608/311 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3985/2663 VDD_SYS_CPU 229/206 VDD_SYS_DDR 725/707
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@38C BCPU@37.5C thermal@36.8C Tdiode@37.25C VDD_SYS_GPU 1685/344 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 4098/2698 VDD_SYS_CPU 153/205 VDD_SYS_DDR 725/707
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@38C BCPU@37.5C thermal@36.8C Tdiode@37.25C VDD_SYS_GPU 1761/377 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 4213/2733 VDD_SYS_CPU 229/206 VDD_SYS_DDR 725/708
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@38C BCPU@37.5C thermal@36.8C Tdiode@37.25C VDD_SYS_GPU 1838/410 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 4290/2768 VDD_SYS_CPU 153/204 VDD_SYS_DDR 725/708
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@38C BCPU@37.5C thermal@37.7C Tdiode@37.25C VDD_SYS_GPU 1915/444 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 4366/2804 VDD_SYS_CPU 229/205 VDD_SYS_DDR 725/708
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 98% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@38C BCPU@37.5C thermal@37.7C Tdiode@37.25C VDD_SYS_GPU 1991/477 VDD_SYS_SOC 612/612 VDD_4V0_WIFI 0/0 VDD_IN 4443/2839 VDD_SYS_CPU 229/205 VDD_SYS_DDR 725/709
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 98% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@38C BCPU@37.5C thermal@37.7C Tdiode@37.25C VDD_SYS_GPU 2068/511 VDD_SYS_SOC 612/612 VDD_4V0_WIFI 0/0 VDD_IN 4481/2874 VDD_SYS_CPU 229/206 VDD_SYS_DDR 725/709
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@38C BCPU@37.5C thermal@37.7C Tdiode@37.25C VDD_SYS_GPU 2145/545 VDD_SYS_SOC 612/612 VDD_4V0_WIFI 0/0 VDD_IN 4558/2909 VDD_SYS_CPU 229/206 VDD_SYS_DDR 725/709
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,28%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 98% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@38C BCPU@37.5C thermal@37.7C Tdiode@37.25C VDD_SYS_GPU 2068/576 VDD_SYS_SOC 612/612 VDD_4V0_WIFI 0/0 VDD_IN 4519/2942 VDD_SYS_CPU 229/207 VDD_SYS_DDR 745/710
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@37C BCPU@37.5C thermal@37.7C Tdiode@37.25C VDD_SYS_GPU 1838/601 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 4251/2968 VDD_SYS_CPU 229/207 VDD_SYS_DDR 725/710
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.7C Tdiode@37.25C VDD_SYS_GPU 1608/621 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 4023/2989 VDD_SYS_CPU 229/208 VDD_SYS_DDR 725/711
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@37C BCPU@37.5C thermal@37.7C Tdiode@36.25C VDD_SYS_GPU 1455/637 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 3793/3004 VDD_SYS_CPU 229/208 VDD_SYS_DDR 725/711
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37C MCPU@37C PMIC@100C Tboard@34C GPU@36.5C BCPU@37C thermal@37.7C Tdiode@36.25C VDD_SYS_GPU 1302/650 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 3640/3016 VDD_SYS_CPU 153/207 VDD_SYS_DDR 725/711
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.7C Tdiode@36.25C VDD_SYS_GPU 1149/659 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 3487/3025 VDD_SYS_CPU 153/206 VDD_SYS_DDR 725/712
RAM 1230/7860MB (lfb 1348x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.7C Tdiode@36.25C VDD_SYS_GPU 996/665 VDD_SYS_SOC 613/612 VDD_4V0_WIFI 0/0 VDD_IN 3333/3031 VDD_SYS_CPU 153/205 VDD_SYS_DDR 706/711
