RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@40.5C GPU@43.5C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.4C Tboard@42C GPU 3720/2868 CPU 620/664 SOC 2326/2326 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.4C Tboard@42C GPU 3720/2925 CPU 620/661 SOC 2325/2326 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.4C Tboard@42C GPU 3720/2974 CPU 620/658 SOC 2325/2326 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.4C Tboard@42C GPU 3875/3027 CPU 620/656 SOC 2325/2326 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.4C Tboard@42C GPU 3875/3074 CPU 620/654 SOC 2325/2326 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,25%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 3875/3116 CPU 620/652 SOC 2325/2326 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@40.5C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 3875/3154 CPU 620/651 SOC 2325/2326 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 3875/3189 CPU 620/649 SOC 2325/2325 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 4030/3227 CPU 620/648 SOC 2325/2325 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 4030/3262 CPU 620/647 SOC 2325/2325 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
