RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1344,16%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1344] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.55C Tboard@42C GPU 931/1055 CPU 621/621 SOC 2173/2173 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 931/1034 CPU 621/621 SOC 2173/2173 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,20%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 7% AO@40.5C GPU@43C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 1086/1041 CPU 621/621 SOC 2328/2195 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 1086/1047 CPU 621/621 SOC 2328/2211 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 931/1034 CPU 621/621 SOC 2173/2207 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@44C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.55C Tboard@42C GPU 931/1024 CPU 621/621 SOC 2173/2204 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 931/1015 CPU 621/621 SOC 2173/2201 CV 0/0 VDDRQ 155/295 SYS5V 2290/2290
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 931/1008 CPU 621/621 SOC 2173/2198 CV 0/0 VDDRQ 310/297 SYS5V 2290/2290
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [28%@1190,0%@1190,0%@1190,0%@1190,0%@1190,12%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 931/1002 CPU 621/621 SOC 2173/2196 CV 0/0 VDDRQ 310/298 SYS5V 2290/2290
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 931/997 CPU 621/621 SOC 2173/2195 CV 0/0 VDDRQ 310/298 SYS5V 2290/2290
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 7% AO@40.5C GPU@43C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 931/993 CPU 621/621 SOC 2328/2204 CV 0/0 VDDRQ 310/299 SYS5V 2290/2290
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 1086/998 CPU 621/621 SOC 2328/2211 CV 0/0 VDDRQ 310/300 SYS5V 2290/2290
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 96% AO@40.5C GPU@43C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 1241/1013 CPU 621/621 SOC 2328/2218 CV 0/0 VDDRQ 310/300 SYS5V 2290/2290
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 96% AO@40.5C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 1552/1043 CPU 620/620 SOC 2172/2216 CV 0/0 VDDRQ 310/301 SYS5V 2290/2290
RAM 2069/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,25%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 97% AO@40.5C GPU@43.5C Tdiode@43.75C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 1861/1086 CPU 620/620 SOC 2328/2221 CV 0/0 VDDRQ 310/301 SYS5V 2290/2290
