RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@44.25C PMIC@100C AUX@42C CPU@43.5C thermal@42.6C Tboard@42C GPU 931/1055 CPU 621/621 SOC 2173/2266 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,14%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43.5C Tdiode@44.25C PMIC@100C AUX@42C CPU@43.5C thermal@42.6C Tboard@42C GPU 1086/1060 CPU 621/621 SOC 2173/2250 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,20%@1190,16%@1190,14%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@44.25C PMIC@100C AUX@42C CPU@43.5C thermal@42.6C Tboard@42C GPU 1086/1063 CPU 621/621 SOC 2328/2261 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@44.25C PMIC@100C AUX@42C CPU@43.5C thermal@42.6C Tboard@42C GPU 931/1047 CPU 621/621 SOC 2173/2250 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,28%@1190] EMC_FREQ 0% GR3D_FREQ 8% AO@40.5C GPU@43C Tdiode@44.25C PMIC@100C AUX@42C CPU@43.5C thermal@42.6C Tboard@42C GPU 1086/1051 CPU 621/621 SOC 2328/2259 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@44.25C PMIC@100C AUX@42C CPU@43.5C thermal@42.6C Tboard@42C GPU 1086/1055 CPU 621/621 SOC 2328/2266 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43.5C Tdiode@44.25C PMIC@100C AUX@42C CPU@43.5C thermal@42.6C Tboard@42C GPU 931/1043 CPU 621/621 SOC 2173/2257 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@44.25C PMIC@100C AUX@42C CPU@43.5C thermal@42.6C Tboard@42C GPU 931/1034 CPU 621/621 SOC 2173/2250 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@44C PMIC@100C AUX@42C CPU@43.5C thermal@42.6C Tboard@42C GPU 931/1026 CPU 621/621 SOC 2173/2244 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@44C PMIC@100C AUX@42C CPU@43.5C thermal@42.75C Tboard@42C GPU 931/1019 CPU 621/621 SOC 2173/2239 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,16%@1190,16%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@44C PMIC@100C AUX@42C CPU@43.5C thermal@42.75C Tboard@42C GPU 931/1013 CPU 621/621 SOC 2173/2235 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,25%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@43C Tdiode@44C PMIC@100C AUX@42C CPU@43.5C thermal@42.75C Tboard@42C GPU 931/1008 CPU 621/621 SOC 2173/2231 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@43.5C Tdiode@44.25C PMIC@100C AUX@42C CPU@43.5C thermal@42.75C Tboard@42C GPU 1241/1022 CPU 621/621 SOC 2328/2236 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@41C GPU@44C Tdiode@44.25C PMIC@100C AUX@41.5C CPU@43C thermal@42.75C Tboard@42C GPU 1552/1051 CPU 620/620 SOC 2328/2241 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,28%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 87% AO@41C GPU@44C Tdiode@44.25C PMIC@100C AUX@41.5C CPU@43C thermal@42.75C Tboard@42C GPU 1861/1094 CPU 620/620 SOC 2328/2246 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
RAM 2071/15815MB (lfb 3215x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@41C GPU@44C Tdiode@44.25C PMIC@100C AUX@42C CPU@43.5C thermal@42.75C Tboard@42C GPU 2171/1148 CPU 620/620 SOC 2327/2250 CV 0/0 VDDRQ 310/310 SYS5V 2290/2290
