RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2538 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2537 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2537 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [14%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2536 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2536 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2536 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2535 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.6C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2535 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2535 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2534 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2534 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2534 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2534 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2534 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2534 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,16%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2533 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2533 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2533 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2533 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@39.75C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2533 VDD_SYS_CPU 230/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@39.5C VDD_SYS_GPU 153/153 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2530/2533 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,33%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 95% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40C BCPU@41C thermal@40.8C Tdiode@39.5C VDD_SYS_GPU 306/157 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2645/2536 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,16%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 94% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@39.5C VDD_SYS_GPU 383/163 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2798/2543 VDD_SYS_CPU 229/229 VDD_SYS_DDR 706/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 94% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@39.5C VDD_SYS_GPU 536/173 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2912/2553 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/706
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 94% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 613/185 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 2988/2565 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/707
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 94% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 689/198 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3103/2578 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/707
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 94% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 766/212 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3180/2594 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/707
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 94% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 843/227 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3257/2610 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/708
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 95% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 843/242 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3295/2626 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/708
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 94% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 919/258 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3333/2642 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/709
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,16%@345,16%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 95% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 996/274 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3410/2660 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/709
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,16%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 94% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 996/290 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3448/2677 VDD_SYS_CPU 229/229 VDD_SYS_DDR 725/709
RAM 1261/7860MB (lfb 1344x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 94% PLL@41C MCPU@41C PMIC@100C Tboard@38C GPU@40.5C BCPU@41C thermal@40.8C Tdiode@40C VDD_SYS_GPU 996/306 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/0 VDD_IN 3487/2695 VDD_SYS_CPU 229/229 VDD_SYS_DDR 745/710
