RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 465/554 SOC 2174/2174 CV 0/0 VDDRQ 155/254 SYS5V 2210/2230
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 465/548 SOC 2174/2174 CV 0/0 VDDRQ 155/248 SYS5V 2250/2231
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 465/543 SOC 2174/2174 CV 0/0 VDDRQ 310/251 SYS5V 2250/2232
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.25C PMIC@100C AUX@40C CPU@41C thermal@40.9C Tboard@42C GPU 931/931 CPU 465/538 SOC 2174/2174 CV 0/0 VDDRQ 310/255 SYS5V 2210/2231
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 465/534 SOC 2174/2174 CV 0/0 VDDRQ 155/249 SYS5V 2210/2230
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41.5C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@42C GPU 931/931 CPU 466/530 SOC 2174/2174 CV 0/0 VDDRQ 310/252 SYS5V 2210/2228
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [28%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@41C GPU 931/931 CPU 465/527 SOC 2174/2174 CV 0/0 VDDRQ 155/248 SYS5V 2210/2228
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@41C GPU 931/931 CPU 466/524 SOC 2174/2174 CV 0/0 VDDRQ 310/250 SYS5V 2250/2229
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.5C PMIC@100C AUX@40C CPU@41C thermal@40.9C Tboard@41C GPU 931/931 CPU 465/521 SOC 2174/2174 CV 0/0 VDDRQ 155/246 SYS5V 2250/2230
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@41C GPU 931/931 CPU 465/519 SOC 2174/2174 CV 0/0 VDDRQ 310/249 SYS5V 2210/2229
