RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 621/676 SOC 2174/2174 CV 0/0 VDDRQ 155/287 SYS5V 2210/2247
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 621/672 SOC 2174/2174 CV 0/0 VDDRQ 310/289 SYS5V 2250/2247
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 621/669 SOC 2174/2174 CV 0/0 VDDRQ 155/280 SYS5V 2210/2245
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 621/666 SOC 2174/2174 CV 0/0 VDDRQ 155/273 SYS5V 2210/2242
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 621/664 SOC 2174/2174 CV 0/0 VDDRQ 155/266 SYS5V 2210/2241
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 465/653 SOC 2174/2174 CV 0/0 VDDRQ 310/269 SYS5V 2210/2239
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 465/644 SOC 2174/2174 CV 0/0 VDDRQ 310/271 SYS5V 2210/2238
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 465/635 SOC 2174/2174 CV 0/0 VDDRQ 155/265 SYS5V 2210/2236
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 465/627 SOC 2174/2174 CV 0/0 VDDRQ 310/267 SYS5V 2210/2235
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 931/931 CPU 465/620 SOC 2174/2174 CV 0/0 VDDRQ 310/269 SYS5V 2210/2234
