RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 621/765 SOC 2174/2196 CV 0/0 VDDRQ 155/265 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 621/755 SOC 2174/2194 CV 0/0 VDDRQ 310/268 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41.5C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 621/747 SOC 2174/2193 CV 0/0 VDDRQ 310/271 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 621/739 SOC 2174/2192 CV 0/0 VDDRQ 155/264 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 621/733 SOC 2174/2191 CV 0/0 VDDRQ 155/258 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 621/727 SOC 2174/2190 CV 0/0 VDDRQ 310/261 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 621/721 SOC 2174/2189 CV 0/0 VDDRQ 155/255 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 621/717 SOC 2174/2188 CV 0/0 VDDRQ 155/250 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 621/712 SOC 2174/2188 CV 0/0 VDDRQ 310/253 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 621/708 SOC 2174/2187 CV 0/0 VDDRQ 310/256 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40C GPU@42.5C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@42.05C Tboard@42C GPU 931/931 CPU 621/705 SOC 2174/2186 CV 0/0 VDDRQ 155/251 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40C GPU@42C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 931/931 CPU 621/701 SOC 2174/2186 CV 0/0 VDDRQ 310/254 SYS5V 2250/2250
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40C GPU@42.5C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 931/931 CPU 621/698 SOC 2174/2185 CV 0/0 VDDRQ 155/250 SYS5V 2210/2248
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 931/931 CPU 465/689 SOC 2174/2185 CV 0/0 VDDRQ 155/246 SYS5V 2250/2248
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 931/931 CPU 465/681 SOC 2174/2185 CV 0/0 VDDRQ 310/249 SYS5V 2250/2248
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 931/931 CPU 465/674 SOC 2174/2184 CV 0/0 VDDRQ 155/245 SYS5V 2250/2248
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 931/931 CPU 465/667 SOC 2174/2184 CV 0/0 VDDRQ 155/242 SYS5V 2250/2248
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40.5C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 931/931 CPU 465/660 SOC 2174/2184 CV 0/0 VDDRQ 155/240 SYS5V 2250/2248
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40C GPU@42C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 931/931 CPU 465/654 SOC 2174/2183 CV 0/0 VDDRQ 155/237 SYS5V 2250/2248
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@40C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 931/931 CPU 465/649 SOC 2174/2183 CV 0/0 VDDRQ 155/234 SYS5V 2250/2248
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@42.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 1242/940 CPU 465/643 SOC 2174/2183 CV 0/0 VDDRQ 310/237 SYS5V 2250/2248
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 1863/966 CPU 465/638 SOC 2173/2182 CV 0/0 VDDRQ 310/239 SYS5V 2250/2248
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@43.25C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 2483/1008 CPU 465/633 SOC 2172/2182 CV 0/0 VDDRQ 310/241 SYS5V 2250/2248
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 2948/1061 CPU 465/629 SOC 2172/2182 CV 0/0 VDDRQ 310/242 SYS5V 2250/2248
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 3412/1122 CPU 465/624 SOC 2172/2181 CV 0/0 VDDRQ 310/244 SYS5V 2250/2248
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 3723/1189 CPU 465/620 SOC 2171/2181 CV 0/0 VDDRQ 310/246 SYS5V 2250/2248
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@43.5C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 4033/1260 CPU 465/616 SOC 2171/2181 CV 0/0 VDDRQ 310/248 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 4342/1335 CPU 465/613 SOC 2171/2181 CV 0/0 VDDRQ 310/249 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 4497/1411 CPU 465/609 SOC 2171/2180 CV 0/0 VDDRQ 310/250 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@41.9C Tboard@42C GPU 4652/1486 CPU 465/606 SOC 2171/2180 CV 0/0 VDDRQ 310/252 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@43.5C PMIC@100C AUX@41C CPU@42.5C thermal@42.35C Tboard@42C GPU 4962/1565 CPU 465/603 SOC 2171/2180 CV 0/0 VDDRQ 310/253 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@43.75C PMIC@100C AUX@41C CPU@42.5C thermal@42.35C Tboard@42C GPU 5115/1644 CPU 465/599 SOC 2171/2180 CV 0/0 VDDRQ 310/254 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@43.75C PMIC@100C AUX@41C CPU@42.5C thermal@42.35C Tboard@42C GPU 5270/1723 CPU 465/597 SOC 2171/2180 CV 0/0 VDDRQ 310/256 SYS5V 2250/2249
RAM 1477/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@43.75C PMIC@100C AUX@41C CPU@42.5C thermal@42.35C Tboard@42C GPU 5425/1801 CPU 465/594 SOC 2170/2179 CV 0/0 VDDRQ 310/257 SYS5V 2250/2249
